Agency_Aliases,entity_name,Website,Address,Email,Phone,TTY,TollFree,Government_Branch,Parent_Agency,Related_Agency,Agency_Image,in_corpus,first_hit,match,entity_type,crawlers,num_mentions,information
EDA,Economic Development Administration,https://www.eda.gov/,"1401 Constitution Ave., NW 
Suite 7800 
Washington, DC 20230",  ,1-202-482-2900,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Commerce,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Seal_of_the_United_States_Department_of_Commerce.svg/1000px-Seal_of_the_United_States_Department_of_Commerce.svg.png,True,DCG VOL 61 PGS 507-551.json,the Economic Development Administration,org,,,
ITA,International Trade Administration,https://www.trade.gov/,"1401 Constitution Ave., NW 
Washington, DC 20230",  ,1-800-872-8723,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Commerce,Committee for the Implementation of Textile Agreements,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Seal_of_the_United_States_Department_of_Commerce.svg/1000px-Seal_of_the_United_States_Department_of_Commerce.svg.png,True,COUNTRY IRAQ STUDY_3.json,International Trade Administration,org,,,
MBDA,Minority Business Development Agency,https://www.mbda.gov/,"1401 Constitution Ave., NW 
Washington, DC 20230",  ,1-202-482-0101,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Commerce,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Seal_of_the_United_States_Department_of_Commerce.svg/1000px-Seal_of_the_United_States_Department_of_Commerce.svg.png,True,AR 215-8.json,The Minority Business Development Agency,org,,,
NIST,National Institute of Standards and Technology,https://www.nist.gov/,"100 Bureau Dr. 
Stop 1070 
Gaithersburg, MD 20899-1070",inquiries@nist.gov,1-301-975-6478,1-800-877-8339,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Commerce,Weights and Measures Division,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Seal_of_the_United_States_Department_of_Commerce.svg/1000px-Seal_of_the_United_States_Department_of_Commerce.svg.png,True,STANREC 4750.json,National Institute for Standards and Technology,org,,,
NOAA,National Oceanic and Atmospheric Administration,https://www.noaa.gov/,"1401 Constitution Ave., NW 
Room 5128 
Washington, DC 20230",  ,  ,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Commerce,NOAA Fisheries;National Ocean Service;National Weather Service;Seafood Inspection Program,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Seal_of_the_United_States_Department_of_Commerce.svg/1000px-Seal_of_the_United_States_Department_of_Commerce.svg.png,True,DoDI 1000.04.json,the National Oceanic and Atmospheric Administration,org,,,
NTIS,National Technical Information Service,https://www.ntis.gov/,"5301 Shawnee Rd. 
Alexandria, VA 22312",info@ntis.gov,1-703-605-6050,  ,1-888-584-8332,Executive Department Sub-Office/Agency/Bureau,United States Department of Commerce,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Seal_of_the_United_States_Department_of_Commerce.svg/1000px-Seal_of_the_United_States_Department_of_Commerce.svg.png,True,DoDM 5220.22 Volume 2 CH 1.json,National Technical Information Service,org,,,
NTIA,National Telecommunications and Information Administration,https://www.ntia.doc.gov/,"1401 Constitution Ave., NW 
Washington, DC 20230",  ,1-202-482-2000,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Commerce,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Seal_of_the_United_States_Department_of_Commerce.svg/1000px-Seal_of_the_United_States_Department_of_Commerce.svg.png,True,CJCSI 6250.01F.json,the National Telecommunications and Information Administration,org,,,
USPTO,Patent and Trademark Office,https://www.uspto.gov/,  ,usptoinfo@uspto.gov,1-571-272-1000,1-571-272-9950,1-800-786-9199,Executive Department Sub-Office/Agency/Bureau,United States Department of Commerce,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Seal_of_the_United_States_Department_of_Commerce.svg/1000px-Seal_of_the_United_States_Department_of_Commerce.svg.png,True,Title 31.json,Patent and Trademark Office,org,,,
USAF;AF;Air Force,United States Air Force,https://www.af.mil/,"1690 Air Force Pentagon 
Washington, DC 20330-1670",  ,  ,  ,1-800-423-8723,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,Air Force Reserve Command,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Seal_of_the_United_States_Department_of_the_Air_Force.svg/1024px-Seal_of_the_United_States_Department_of_the_Air_Force.svg.png,True,FORTITUDINE VOL 22 NOL 3.json,the United States Air Force,org,,,
USArmy; Army,United States Army,https://www.army.mil/,"The Pentagon 
Washington, DC 20310",  ,1-703-695-6518,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,"Army Corps of Engineers;Military Academy, West Point;Joint Program Executive Office for Chemical and Biological Defense;National Guard",https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Mark_of_the_United_States_Army.svg/1000px-Mark_of_the_United_States_Army.svg.png,True,AGO 1954-06.json,United States Army,org,,,
DAU,Defense Acquisition University,https://www.dau.edu/,"9820 Belvoir Rd. 
Fort Belvoir, VA 22060",dauhelp@dau.mil,1-703-805-3459,  ,1-866-568-6924,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png,True,AR 700-137.json,Defense Acquisition University,org,,,
DARPA,Defense Advanced Research Projects Agency,https://www.darpa.mil/,"675 North Randolph St. 
Arlington, VA 22203-2114",  ,1-703-526-6630,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png,True,EO 13760.json,Defense Advanced Research Projects Agency,org,,,
DECA,Defense Commissary Agency,https://www.commissaries.com/,"1300 E Ave. 
Fort Lee, VA 23801–1800",  ,  ,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png,True,DoDI 8170.01.json,Defense Commissary Agency,org,,,
DCAA,Defense Contract Audit Agency,https://www.dcaa.mil/,"8725 John J. Kingman Rd. 
Fort Belvoir, VA 22060",  ,1-703-767-3265,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png,True,AR 700-137.json,Defense Contract Audit Agency,org,,,
DCMA,Defense Contract Management Agency,https://www.dcma.mil/,"3901 A Ave., Building 10500 
Fort Lee, VA 23801-1809",  ,1-804-734-0628,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png,True,AR 700-137.json,the Defense Contract Management Agency,org,,,
DFAS,Defense Finance and Accounting Service,https://www.dfas.mil/,"Crystal Mall 3 
Room 920 
Arlington, VA 22240-5291",  ,1-888-332-7411,  ,1-888-332-7411,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,Defense Finance and Accounting Service Garnishment Operations Center;Defense Finance and Accounting Service Debt and Claims Management Center,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png,True,DoDFMR V5CH13.json,the Defense Finance and Accounting Service,org,,,
Defense Health Agency,Defense Health Agency,https://www.health.mil/About-MHS/OASDHA/Defense-Health-Agency,"7700 Arlington Blvd. 
Suite 5101 
Falls Church, VA 22042-5101",  ,  ,1-800-799-4889,1-800-273-8255;1-877-995-5247,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png,True,DoDI 6440.02 CH 1.json,the Defense Health Agency,org,,,
DISA,Defense Information Systems Agency,https://www.usa.gov/federal-agencies/defense-information-systems-agency,"P.O. Box 549 
Fort Meade, MD 20755-0549",  ,1-301-225-8100,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png,True,NAVMC 3500.19.json,Defense Information Systems Agency,org,,,
DIA,Defense Intelligence Agency,https://www.dia.mil/,"The Pentagon 
Washington, DC 20340-5100",DIA-PAO@dodiis.mil,1-202-231-5554,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,National Intelligence University,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png,True,AR 614-30.json,Defense Intelligence Agency,org,,,
DLA,Defense Logistics Agency,https://www.dla.mil/,"Andrew T. McNamara Building 
8725 John J. Kingman Rd. 
Fort Belvoir, VA 22060-6221",dlacontactcenter@dla.mil,1-269-961-7766,  ,1-877-352-2255,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png,True,DoDFMR V6ACH14.json,Defense Logistics Agency,org,,,
DSCA,Defense Security Cooperation Agency,https://www.dsca.mil/,"2800 Defense Pentagon 
Wasington, DC 20301-2800",dsca.ncr.lmo.mbx.info@mail.mil,1-703-697-9709,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png,True,DoDM 4160.28 Volume 3 CH 2.json,Defense Security Cooperation Agency,org,,,
DSS,Defense Security Service,https://www.dcsa.mil/,"10430 Furnace Rd. 
Suite 101 
Lorton, VA 22079",call.center@dsshelp.org,1-888-282-7682,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png,True,DTM-15-002 CH 7.json,Defense Security Service,org,,,
DTIC,Defense Technical Information Center,https://discover.dtic.mil/,"8725 John J. Kingman Rd. 
Suite 0944 
Ft. Belvoir, VA 22060-6218",dtic.belvoir.us.mbx.dtic-access@mail.mil,1-703-767-8274,  ,1-800-225-3842,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png,True,AFMAN 35-101.json,the Defense Technical Information Center,org,,,
DTRA,Defense Threat Reduction Agency,https://www.dtra.mil/,"8725 John J. Kingman Rd. 
Stop 6201 
Ft. Belvoir, VA 22060-6201",dtra.publicaffairs@dtra.mil,1-703-767-5870,  ,1-800-701-5096,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png,True,NAVMC 3500.103_P2.json,Defense Threat Reduction Agency,org,,,
FVAP,Federal Voting Assistance Program,https://www.fvap.gov/,"4800 Mark Center Dr. 
Mailbox 10 
Arlington, VA 22350-5000",vote@fvap.gov,1-800-438-8683,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png,True,DoDI 1000.04.json,Federal Voting Assistance Program,org,,,
USFF,Fleet Forces Command,https://www.public.navy.mil/usff/Pages/default.aspx,"Fleet Public Affairs (N01P) 
1562 Mitscher Ave., Suite 250 
Norfolk, VA 23551-2487",  ,1-757-836-3644,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png,True,DoDFMR V6ACH14.json,Fleet Forces Command,org,,,
JCS,Joint Chiefs of Staff,https://www.jcs.mil/,"9999 Joint Staff Pentagon 
Washington, DC 20318-9999",  ,1-703-545-6700,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png,True,FORTITUDINE VOL 22 NOL 3.json,Joint Chiefs of Staff,org,,,
MDA,Missile Defense Agency,https://www.mda.mil/,"5700 18th St. 
Bldg. 245 
Fort Belvoir, VA 22060-5573",mda.info@mda.mil,  ,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png,True,AFMAN 91-201.json,Missile Defense Agency,org,,,
NDU,National Defense University,https://www.ndu.edu/,"300 5th Ave. 
Bldg. 62 
Fort McNair, DC 20319-5066",NDUWebmaster@ndu.edu,1-202-685-2128,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,Dwight D. Eisenhower School for National Security and Resource Strategy;Information Resource Management College;Joint Forces Staff College;National War College,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png,True,U.S MARINES IN AFGHANISTAN 2001-2009 ANTHOLOGY AND ANNOTATED BIBLIOGRAPHY.json,National Defense University,org,,,
NGA,National Geospatial-Intelligence Agency,https://www.nga.mil/Pages/Default.aspx,"Public Affairs, MS N73-OCCAE 
7500 GEOINT Dr. 
Springfield, VA 22150-7500",publicaffairs@nga.mil,1-571-557-5400,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png,False,None,None,org,,,
NRO,National Reconnaissance Office,https://www.nro.gov/,"14675 Lee Rd. 
Chantilly, VA 20151-1715",  ,1-703-808-1198,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png,True,DoDI 1444.02 Volume 3 CH 1.json,the National Reconnaissance Office,org,,,
NSA,National Security Agency,https://www.nsa.gov/,"9800 Savage Rd. 
Suite 6272 
Fort Meade, MD 20755-6000",  ,1-301-688-6311,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png,True,USAR REG 380-5.json,National Security Agency,org,,,
Navy,United States Navy,https://www.navy.mil/,"1000 Navy Pentagon 
Washington, DC 20350-1200",  ,  ,  ,1-800-872-6289,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,United States Marine Corps,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Emblem_of_the_United_States_Navy.svg/1000px-Emblem_of_the_United_States_Navy.svg.png,True,DoDM 1348.33 Volume 1 CH 2.json,the United States Navy,org,,,
OEA,Office of Economic Adjustment,https://oea.gov/,"2231 Crystal Dr. 
Suite 520 
Arlington, VA 22202",  ,1-703-697-2130,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png,True,DoDD 5100.01.json,Office of Economic Adjustment,org,,,
PFPA,Pentagon Force Protection Agency,https://www.pfpa.mil/,  ,pfpa.pentagon.cco.mbx.general@mail.mil,1-703-697-1001;1-703-697-5555,1-703-693-7008,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png,True,OPNAVINST 5510.100D.json,Pentagon Force Protection Agency,org,,,
Prisoner of War and Missing in Action Accounting Agency,Prisoner of War and Missing in Action Accounting Agency,https://www.dpaa.mil/,"2600 Defense Pentagon 
Attn: External Affairs 
Washington, DC 20301-2600","
outreach.DPMO@osd.mil","
1-703-699-1420",  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png,False,None,None,org,,,
UCC,Unified Combatant Commands,https://www.defense.gov/,"1400 Defense Pentagon 
Washington, DC 20301-1400",  ,1-703-571-3343,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,United States Central Command;United States European Command;United States Northern Command;United States Pacific Command;United States Southern Command;United States Special Operations Command;United States Strategic Command;United States Transportation Command,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png,True,USAR REG 380-5.json,the Unified Combatant Commands,org,,,
USUHS,Uniformed Services University of the Health Sciences,https://www.usuhs.edu/,"4301 Jones Bridge Rd. 
Bethesda, MD 20814",webmaster@usuhs.edu,1-301-295-3013;1-301-295-3383,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png,True,DoDI 1402.06.json,the Uniformed Services University of Health Sciences,org,,,
WHS,Washington Headquarters Services,https://www.whs.mil/,"Washington Headquarters Services 
1155 Defense Pentagon 
Washington, DC 20301-1155","
information@whs.mil",  ,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png,True,DoDI 1402.03 VOLUME 2 CH 2.json,the Washington Headquarters Services,org,,,
OCTAE,"Office of Career, Technical, and Adult Education",https://www2.ed.gov/about/offices/list/ovae/index.html,"400 Maryland Ave., SW 
Washington, DC 20202-7100",ovae@ed.gov,1-202-245-7700,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Education,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Seal_of_the_United_States_Department_of_Education.svg/1000px-Seal_of_the_United_States_Department_of_Education.svg.png,False,None,None,org,,,
OCR,"Office for Civil Rights, United States Department of Education",https://www2.ed.gov/about/offices/list/ocr/index.html,"
400 Maryland Ave., SW 
Washington, DC 20202-1100",ocr@ed.gov,1-202-245-6700,"
1-800-877-8339","
1-800-421-3481",Executive Department Sub-Office/Agency/Bureau,United States Department of Education,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Seal_of_the_United_States_Department_of_Education.svg/1000px-Seal_of_the_United_States_Department_of_Education.svg.png,False,None,None,org,,,
Commission on Presidential Scholars,Commission on Presidential Scholars,https://www2.ed.gov/programs/psp/commission.html?exp=0,"Commission on Presidential Scholars 
U.S. Department of Education 
400 Maryland Ave., SW 
Washington, DC 20202-8173",Presidential.Scholars@ed.gov,1-202-401-0961;1-319-341-2777,  ,  ,Independent Agency,United States Department of Education,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Seal_of_the_United_States_Department_of_Education.svg/1000px-Seal_of_the_United_States_Department_of_Education.svg.png,False,None,None,org,,,
OESE,Office of Elementary and Secondary Education,https://oese.ed.gov/,"400 Maryland Ave., SW 
Washington, DC 20202",oese@ed.gov,1-202-401-0113,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Education,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Seal_of_the_United_States_Department_of_Education.svg/1000px-Seal_of_the_United_States_Department_of_Education.svg.png,True,OMBM M-06-24.json,Office of Elementary and Secondary Education,org,,,
English Language Acquisition Office,English Language Acquisition Office,https://www2.ed.gov/about/offices/list/oela/index.html?src=oc,  ,  ,  ,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Education,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Seal_of_the_United_States_Department_of_Education.svg/1000px-Seal_of_the_United_States_Department_of_Education.svg.png,False,None,None,org,,,
Federal Student Aid Information Center,Federal Student Aid Information Center,https://studentaid.gov/,"PO Box 84 
Washington, DC 20044-0084",studentaid@ed.gov,  ,"
1-800-730-8913;1-877-825-9923;1-800-557-7395",1-800-433-3243;1-800-621-3115;1-800-557-7392 ,Executive Department Sub-Office/Agency/Bureau,United States Department of Education,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Seal_of_the_United_States_Department_of_Education.svg/1000px-Seal_of_the_United_States_Department_of_Education.svg.png,True,Title 20.json,the Federal Student Aid Information Center,org,,,
Innovation and Improvement Office,Innovation and Improvement Office,https://oese.ed.gov/,"400 Maryland Ave., SW 
Washington, DC 20202",  ,1-202-205-4500,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Education,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Seal_of_the_United_States_Department_of_Education.svg/1000px-Seal_of_the_United_States_Department_of_Education.svg.png,False,None,None,org,,,
IES,Institute of Education Sciences,https://www2.ed.gov/about/offices/list/ies/index.html,"555 New Jersey Ave., NW 
Washington, DC 20208",contact.ies@ed.gov,1-202-219-1385,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Education,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Seal_of_the_United_States_Department_of_Education.svg/1000px-Seal_of_the_United_States_Department_of_Education.svg.png,True,Title 42 - ch7to7A_Secs301to1400v.json,the Institute of Education Sciences,org,,,
OPE,Office of Postsecondary Education,https://www2.ed.gov/about/offices/list/ope/index.html,"1990 K St., NW 
Washington, DC 20006",  ,1- 202-502-7750,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Education,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Seal_of_the_United_States_Department_of_Education.svg/1000px-Seal_of_the_United_States_Department_of_Education.svg.png,True,Title 20.json,Office of Postsecondary Education,org,,,
OSERS,Office of Special Education and Rehabilitative Services,https://www2.ed.gov/about/offices/list/osers/index.html,"400 Maryland Ave., SW 
Washington, DC 20202-7100",  ,1-202-245-7468,"
1-202-205-4208",1-800-872-5327,Executive Department Sub-Office/Agency/Bureau,United States Department of Education,Rehabilitation Services Administration;Center for Parent Information and Resources,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Seal_of_the_United_States_Department_of_Education.svg/1000px-Seal_of_the_United_States_Department_of_Education.svg.png,True,Title 20.json,The Office of Special Education and Rehabilitative Services,org,,,
EIA,Energy Information Administration,https://www.eia.gov/,"1000 Independence Ave., SW 
Washington, DC 20585",InfoCtr@eia.gov,1-202-586-8800,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Energy,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Seal_of_the_United_States_Department_of_Energy.svg/1000px-Seal_of_the_United_States_Department_of_Energy.svg.png,True,Title 30.json,the Energy Information Administration,org,,,
EM,Office of Environmental Management,https://www.energy.gov/em/office-environmental-management,"U.S. Department of Energy 
Attention: Office of Environmental Management 
1000 Independence Ave., SW 
Washington, DC 20585","
EM.WebContentManager@em.doe.gov",1-202-586-7709,1-800-877-8339,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Energy,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Seal_of_the_United_States_Department_of_Energy.svg/1000px-Seal_of_the_United_States_Department_of_Energy.svg.png,True,AFI 11-235.json,Environmental Management Office,org,,,
FERC,Federal Energy Regulatory Commission,https://www.ferc.gov/,"888 First St., NE 
Washington, DC 20426",customer@ferc.gov,1-202-502-6088,1-202-502-8659,1-866-208-3372,Executive Department Sub-Office/Agency/Bureau,United States Department of Energy,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Seal_of_the_United_States_Department_of_Energy.svg/1000px-Seal_of_the_United_States_Department_of_Energy.svg.png,True,OMBM M-15-04.json,Federal Energy Regulatory Commission,org,,,
FE,Office of Fossil Energy,https://www.energy.gov/fe/office-fossil-energy,"1000 Independence Ave., SW 
Washington, DC 20585",FECommunications@hq.doe.gov,1-202-586-6660,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Energy,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Seal_of_the_United_States_Department_of_Energy.svg/1000px-Seal_of_the_United_States_Department_of_Energy.svg.png,True,Title 42 - ch124to161_Secs11901to18647.json,the Office of Fossil Energy,org,,,
National Laboratories,National Laboratories,https://www.energy.gov/national-laboratories,  ,  ,  ,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Energy,Oak Ridge National Laboratory,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Seal_of_the_United_States_Department_of_Energy.svg/1000px-Seal_of_the_United_States_Department_of_Energy.svg.png,True,Title 30.json,National Laboratories,org,,,
NNSA,National Nuclear Security Administration,https://www.energy.gov/nnsa/national-nuclear-security-administration,"1000 Independence Ave., SW 
Washington, DC 20585",  ,1-202-586-5000 ,  ,1-800-342-5363,Executive Department Sub-Office/Agency/Bureau,United States Department of Energy,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Seal_of_the_United_States_Department_of_Energy.svg/1000px-Seal_of_the_United_States_Department_of_Energy.svg.png,True,DoDM 5210.42 CH 3.json,National Nuclear Security Administration,org,,,
Office of Nuclear Energy,Office of Nuclear Energy,https://www.energy.gov/ne/office-nuclear-energy,  ,  ,1-202-586-5000,1-800-877-8339,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Energy,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Seal_of_the_United_States_Department_of_Energy.svg/1000px-Seal_of_the_United_States_Department_of_Energy.svg.png,True,Title 50.json,the Office of Nuclear Energy,org,,,
Power Administrations,Power Administrations,https://www.energy.gov/offices,  ,  ,  ,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Energy,Bonneville Power Administration;Southeastern Power Administration;Southwestern Power Administration;Western Area Power Administration,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Seal_of_the_United_States_Department_of_Energy.svg/1000px-Seal_of_the_United_States_Department_of_Energy.svg.png,False,None,None,org,,,
Science Office,Science Office,https://www.energy.gov/science/office-science,"1000 Independence Ave., SW 
Washington, DC 20585",  ,1-202-586-5430,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Energy,Office of Scientific and Technical Information,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Seal_of_the_United_States_Department_of_Energy.svg/1000px-Seal_of_the_United_States_Department_of_Energy.svg.png,True,Title 42 - ch124to161_Secs11901to18647.json,Office of Science,org,,,
