name,crawlers,num_mentions,information,type
Joint Resolution,"[army_pubs,legislation_pubs]",257.0,"In the United States Congress, a joint resolution is a legislative measure that requires passage by the Senate and the House of Representatives and is presented to the President for his approval or disapproval. Generally, there is no legal difference between a joint resolution and a bill. Both must be passed, in exactly the same form, by both chambers of Congress, and signed by the President (or, re-passed in override of a presidential veto; or, remain unsigned for ten days while Congress is in session) to become a law. Only joint resolutions may be used to propose amendments to the United States Constitution and these do not require the approval of the President. Laws enacted by joint resolutions are not distinguished from laws enacted by bills, except that they are designated as resolutions as opposed to Acts of Congress (see for example War Powers Resolution).
While either a bill or joint resolution can be used to create a law, the two generally have different purposes. Bills are generally used to add, repeal, or amend laws codified in the United States Code or Statutes at Large, and provide policy and program authorizations.  Regular annual appropriations are enacted through bills. Conversely, joint resolutions generally are vehicles for purposes such as the following:
Authorizing small appropriations
For continuing resolutions, which extend appropriation levels adopted in a prior fiscal year, when one or more of the annual appropriations acts have been temporarily delayed from becoming law on time
Creating temporary commissions or other ad hoc bodies (e.g., the 9/11 Commission)
Creating temporary exceptions to existing law, such as joint resolutions providing a day other than January 6 for counting electoral votes or providing for a Saxbe fix reducing the pay of an office so that a member of Congress may avoid the Ineligibility Clause
Declaring war
Terminating national emergency declarations
Amending the Constitution of the United States",topic
Public Health,"[air_force_pubs,legislation_pubs,navy_med_pubs,ex_orders]",254.0,"Public health has been defined as ""the science and art of preventing disease”, prolonging life and improving quality of life through organized efforts and informed choices of society, organizations (public and private), communities and individuals. Analyzing the determinants of health of a population and the threats it faces is the basis for public health. The public can be as small as a handful of people or as large as a village or an entire city; in the case of a pandemic it may encompass several continents. The concept of health takes into account physical, psychological, and social well-being. As such, according to the World Health Organization, it is not merely the absence of disease or infirmity and more recently, a resource for everyday living.Public health is an interdisciplinary field. For example, epidemiology, biostatistics, social sciences and management of health services are all relevant. Other important sub-fields include environmental health, community health, behavioral health, health economics, public policy, mental health, health education, health politics, occupational safety, disability, gender issues in health, and sexual and reproductive health.Public health aims to improve the quality of life through prevention and treatment of disease, including mental health. This is done through the surveillance of cases and health indicators, and through the promotion of healthy behaviors. Common public health initiatives include promotion of hand-washing and breastfeeding, delivery of vaccinations, suicide prevention, smoking cessation, obesity education, increasing healthcare accessibility and distribution of condoms to control the spread of sexually transmitted diseases.
Modern public health practice requires multidisciplinary teams of public health workers and professionals. Teams might include epidemiologists, biostatisticians, physician assistants, public health nurses, midwives, medical microbiologists, pharmacists, economists, sociologists, geneticists, data managers, environmental health officers (public health inspectors), bioethicists, gender experts, sexual and reproductive health specialists, physicians, and even veterinarians.Like in other nations, access to health care and public health initiatives are difficult challenges in developing countries. Public health infrastructures are still forming in those countries.",topic
Project,"[jcs_pubs,legislation_pubs,Coast_Guard,air_force_pubs,marine_pubs,secnav_pubs,navy_med_pubs,nato_stanag,army_pubs,ex_orders]",253.0,"A project (or program) is any undertaking, carried out individually or collaboratively and possibly involving research or design, that is carefully planned (usually by a project team) to achieve a particular aim.An alternative view sees a project managerially as a sequence of events: a ""set of interrelated tasks to be executed over a fixed period and within certain cost and other limitations"".A project may be a temporary (rather than permanent) social system (work system), possibly constituted by teams (within or across organizations) to accomplish particular tasks under time constraints.A project may be a part of wider programme management or an ad hoc structure.
Note that open-source software ""projects"" (for example) may lack defined team-membership, precise planning and time-limited durations.",topic
Grant Money,"[army_pubs,legislation_pubs,milpersman_crawler]",249.0,"Grant are funds given by an entity – frequently, a public body, charitable foundation, or a specialised grant-making institution – to an individual or another entity (usually, a non-profit organisation, sometimes a business or a local government body) for a specific purpose linked to public benefit. Unlike loans, grants are not to be paid back.

",topic
Attorney General,"[us_code,legislation_pubs,ic_policies,ex_orders]",248.0,"In most common law jurisdictions, the attorney general or attorney-general (sometimes abbreviated AG) is the main legal advisor to the government. The plural is attorneys general.
In some jurisdictions, attorneys general also have executive responsibility for law enforcement, prosecutions or even responsibility for legal affairs generally. In practice, the extent to which the attorney general personally provides legal advice to the government varies between jurisdictions, and even between individual office-holders within the same jurisdiction, often depending on the level and nature of the office-holder's prior legal experience.
Where the attorney general has ministerial responsibility for legal affairs in general (as is the case, for example, with the United States Attorney General or the Attorney-General for Australia, and the respective attorneys general of the states in each country), the ministerial portfolio is largely equivalent to that of a Minister of Justice in some other countries.
The term was originally used to refer to any person who holds a general power of attorney to represent a principal in all matters. In the common law tradition, anyone who represents the state, especially in criminal prosecutions, is such an attorney. Although a government may designate some official as the permanent attorney general, anyone who came to represent the state in the same way could, in the past, be referred to as such, even if only for a particular case. Today, however, in most jurisdictions, the term is largely reserved as a title of the permanently appointed attorney general of the state, sovereign or other member of the royal family.
Civil law jurisdictions have similar offices, which may be variously called ""public prosecutor general"", ""procurators"", ""advocates general"", ""public attorneys"", and other titles. Many of these offices also use ""attorney general"" or ""attorney-general"" as the English translation of the title, although because of different historical provenance, the nature of such offices is usually different from that of attorneys-general in common law jurisdictions.",topic
Medical,"[dha_pubs,air_force_pubs,nato_stanag,dod_issuances,army_pubs,navy_reserves,Coast_Guard,legislation_pubs,milpersman_crawler,marine_pubs,secnav_pubs,navy_med_pubs,ex_orders]",243.0,"A medal or medallion is a small portable artistic object, a thin disc, normally of metal, carrying a design, usually on both sides.  They typically have a commemorative  purpose of some kind, and many are given as awards.  They may be intended to be worn, suspended from clothing or jewellery in some way. They may be struck like a coin by dies or die-cast in a mould.
A medal may be awarded to a person or organisation as a form of recognition for sporting, military, scientific, cultural, academic, or various other achievements. Military awards and decorations are more precise terms for certain types of state decoration. Medals may also be created for sale to commemorate particular individuals or events, or as works of artistic expression in their own right. In the past, medals commissioned for an individual, typically with their portrait, were often used as a form of diplomatic or personal gift, with no sense of being an award for the conduct of the recipient.
An artist who creates medals or medallions is called a ""medalist"".  Medals have long been popular collectible items, and in numismatics form a class called either exonumia or militaria.
In the proper use of the term, medallions are larger, starting at perhaps four inches across, and are, as such, usually too large to be worn very comfortably, though in colloquial use, ""medallion"" is often used to refer to a medal used as the pendant of a necklace (as in the medallion man fashion style of the 1960s and 1970s), or for other types of medals.  Medallions may also be called ""table medals"" because they are too large to be worn and can only be displayed on a wall, table top, desk, or cabinet.",topic
US Marines,[marine_pubs],238.0,"The United States Marine Corps (USMC), also referred to as the United States Marines, is the maritime land force service branch of the United States Armed Forces responsible for conducting expeditionary and amphibious operations through combined arms, implementing its own infantry, armor, artillery, aerial and special operations forces. The U.S. Marine Corps is one of the eight uniformed services of the United States.
The Marine Corps has been part of the U.S. Department of the Navy since 30 June 1834 with its sister service, the United States Navy. The USMC operates installations on land and aboard sea-going amphibious warfare ships around the world. Additionally, several of the Marines' tactical aviation squadrons, primarily Marine Fighter Attack squadrons, are also embedded in Navy carrier air wings and operate from the aircraft carriers.The history of the Marine Corps began when two battalions of Continental Marines were formed on 10 November 1775 in Philadelphia as a service branch of infantry troops capable of fighting both at sea and on shore. In the Pacific theater of World War II the Corps took the lead in a massive campaign of amphibious warfare, advancing from island to island. As of 2017, the USMC has around 182,000 active duty members and some 38,500 personnel in reserve.

",topic
Company,"[army_pubs,marine_pubs,legislation_pubs,ex_orders,air_force_pubs]",237.0,"A company, abbreviated as co., is a legal entity representing an association of people, whether natural, legal or a mixture of both, with a specific objective. Company members share a common purpose and unite to achieve specific, declared goals. Companies take various forms, such as:

voluntary associations, which may include nonprofit organizations
business entities, whose aim is generating profit
financial entities and banks
programs or educational institutions.A company can be created as a legal person so that the company itself has limited liability as members perform or fail to discharge their duty according to the publicly declared incorporation, or published policy. When a company closes, it may need to be liquidated to avoid further legal obligations.
Companies may associate and collectively register themselves as new companies; the resulting entities are often known as corporate groups.",topic
US Executive Administration,"[dha_pubs,dod_issuances,navy_reserves,legislation_pubs,milpersman_crawler,secnav_pubs,ex_orders]",234.0,"The United States federal executive departments are the principal units of the executive branch of the federal government of the United States. They are analogous to ministries common in parliamentary or semi-presidential systems but (the United States being a presidential system) they are led by a head of government who is also the head of state. The executive departments are the administrative arms of the President of the United States. There are currently 15 executive departments.
The heads of the executive departments receive the title of Secretary of their respective department, except for the Attorney General who is head of the Justice Department (and the Postmaster General who until 1971 was head of the Post Office Department). The heads of the executive departments are appointed by the President and take office after confirmation by the United States Senate, and serve at the pleasure of the President. The heads of departments are members of the Cabinet of the United States, an executive organ that normally acts as an advisory body to the President. In the Opinion Clause (Article II, section 2, clause 1) of the U.S. Constitution, heads of executive departments are referred to as ""principal Officer in each of the executive Departments"".
The heads of executive departments are included in the line of succession to the President, in the event of a vacancy in the presidency, after the Vice President, the Speaker of the House and the President pro tempore of the Senate.",topic
Enemy,"[army_pubs,nato_stanag,marine_pubs,Coast_Guard,air_force_pubs,legislation_pubs]",231.0,"An enemy or a foe is an individual or a group that is considered as forcefully adverse or threatening. The concept of an enemy has been observed to be ""basic for both individuals and communities"". The term ""enemy"" serves the social function of designating a particular entity as a threat, thereby invoking an intense emotional response to that entity. The state of being or having an enemy is enmity, foehood or foeship.

",topic
Aircraft,"[air_force_pubs,nato_stanag,army_pubs,jcs_pubs,marine_pubs,legislation_pubs,Coast_Guard,secnav_pubs,Bupers_Crawler,ex_orders]",230.0,"An aircraft is a vehicle that is able to fly by gaining support from the air. It counters the force of gravity by using either static lift or by using the dynamic lift of an airfoil, or in a few cases the downward thrust from jet engines. Common examples of aircraft include airplanes, helicopters, airships (including blimps), gliders, paramotors and hot air balloons.The human activity that surrounds aircraft is called aviation. The science of aviation, including designing and building aircraft, is called aeronautics. Crewed aircraft are flown by an onboard pilot, but unmanned aerial vehicles may be remotely controlled or self-controlled by onboard computers. Aircraft may be classified by different criteria, such as lift type, aircraft propulsion, usage and others.",topic
United States Marines,"[marine_pubs,army_pubs,Coast_Guard,milpersman_crawler,legislation_pubs,ex_orders]",229.0,"The United States Marine Corps (USMC), also referred to as the United States Marines, is the maritime land force service branch of the United States Armed Forces responsible for conducting expeditionary and amphibious operations through combined arms, implementing its own infantry, armor, artillery, aerial and special operations forces. The U.S. Marine Corps is one of the eight uniformed services of the United States.
The Marine Corps has been part of the U.S. Department of the Navy since 30 June 1834 with its sister service, the United States Navy. The USMC operates installations on land and aboard sea-going amphibious warfare ships around the world. Additionally, several of the Marines' tactical aviation squadrons, primarily Marine Fighter Attack squadrons, are also embedded in Navy carrier air wings and operate from the aircraft carriers.The history of the Marine Corps began when two battalions of Continental Marines were formed on 10 November 1775 in Philadelphia as a service branch of infantry troops capable of fighting both at sea and on shore. In the Pacific theater of World War II the Corps took the lead in a massive campaign of amphibious warfare, advancing from island to island. As of 2017, the USMC has around 182,000 active duty members and some 38,500 personnel in reserve.

",topic
Military Battalion,"[army_pubs,marine_pubs,navy_med_pubs]",224.0,"A battalion is a military unit, typically consisting of 300 to 1000 soldiers commanded by a lieutenant colonel, and subdivided into a number of companies. In some countries, battalions are exclusively infantry, while in others battalions are unit-level organizations.
The term ""battalion"" was first used in Italian as battaglione no later than the 16th century. It derived from the Italian word for battle, battaglia. The first use of battalion in English was in the 1580s, and the first use to mean ""part of a regiment"" is from 1708.",topic
Homeland Security,"[us_code,jcs_pubs,legislation_pubs,ex_orders]",223.0,"Homeland security is an American national security term for ""the national effort to ensure a homeland that is safe, secure, and resilient against terrorism and other hazards where American interests, aspirations, and ways of life can thrive"" to the ""national effort to prevent terrorist attacks within the United States, reduce the vulnerability of the U.S. to terrorism, and minimize the damage from attacks that do occur."" According to an official work published by the Congressional Research Service in 2013, the ""Homeland security"" term's definition has varied over time.Homeland security is not constrained to terrorist incidents. Terrorism are violent, criminal acts committed by individuals and/or groups to further ideological goals stemming from influences, such as those of a political, religious, social, racial, or environmental nature. Within the U.S., an all-hazards approach exists regarding homeland security endeavors. In this sense, homeland security encompasses both natural disasters and man-made events. Thus, the domain of homeland security must accommodate a plethora of situations and scenarios, ranging from natural disasters (e.g., Hurricane Katrina, Irma) to acts of terrorism (e.g., Boston Marathon bombing, September 11 attacks).The term came about following enactment of the Homeland Security Act of 2002 and reorganization of many U.S. government civil agencies effective March 1, 2003, to form the United States Department of Homeland Security after the September 11 attacks, and may refer to the actions of that department, the United States Senate Committee on Homeland Security and Governmental Affairs, or the United States House of Representatives Committee on Homeland Security.
Homeland defense (HD) is the military protection of U.S. territory, sovereignty, domestic population, and critical infrastructure against external threats and aggression.",topic
Securities Exchange,"[legislation_pubs,ex_orders]",223.0,"A stock exchange, securities exchange, or bourse is an exchange where stockbrokers and traders can buy and sell securities, such as shares of stock, bonds, and other financial instruments. Stock exchanges may also provide facilities for the issue and redemption of such securities and instruments and capital events including the payment of income and dividends. Securities traded on a stock exchange include stock issued by listed companies, unit trusts, derivatives, pooled investment products and bonds. Stock exchanges often function as ""continuous auction"" markets with buyers and sellers consummating transactions via open outcry at a central location such as the floor of the exchange or by using an electronic trading platform.To be able to trade a security on a certain stock exchange, the security must be listed there. Usually, there is a central location at least for record keeping, but trade is increasingly less linked to a physical place, as modern markets use electronic communication networks, which give them advantages of increased speed and reduced cost of transactions. Trade on an exchange is restricted to brokers who are members of the exchange. In recent years, various other trading venues, such as electronic communication networks, alternative trading systems and ""dark pools"" have taken much of the trading activity away from traditional stock exchanges.Initial public offerings of stocks and bonds to investors is done in the primary market and subsequent trading is done in the secondary market. A stock exchange is often the most important component of a stock market. Supply and demand in stock markets are driven by various factors that, as in all free markets, affect the price of stocks (see stock valuation).
There is usually no obligation for stock to be issued through the stock exchange itself, nor must stock be subsequently traded on an exchange. Such trading may be off exchange or over-the-counter. This is the usual way that derivatives and bonds are traded. Increasingly, stock exchanges are part of a global securities market. Stock exchanges also serve an economic function in providing liquidity to shareholders in providing an efficient means of disposing of shares.",topic
Military,"[army_pubs,ex_orders,marine_pubs,legislation_pubs,air_force_pubs,secnav_pubs,milpersman_crawler]",222.0,"A military, also known collectively as armed forces, is a heavily armed, highly organized force primarily intended for warfare. It is typically officially authorized and maintained by a sovereign state, with its members identifiable by their distinct military uniform. It may consist of one or more military branches such as an army, navy, air force, space force, marines, or coast guard. The main task of the military is usually defined as defence of the state and its interests against external armed threats.
In broad usage, the terms armed forces and military are often treated as synonymous, although in technical usage a distinction is sometimes made in which a country's armed forces may include both its military and other paramilitary forces. There are various forms of irregular military forces, not belonging to a recognized state; though they share many attributes with regular military forces, they are less often referred to as simply military.

A nation's military may function as a discrete social subculture, with dedicated infrastructure such as military housing, schools, utilities, logistics, hospitals, legal services, food production, finance, and banking services. Beyond warfare, the military may be employed in additional sanctioned and non-sanctioned functions within the state, including internal security threats, population control, the promotion of a political agenda, emergency services and reconstruction, protecting corporate economic interests, social ceremonies and national honour guards.The profession of soldiering as part of a military is older than recorded history itself. Some of the most enduring images of  classical antiquity portray the power and feats of its military leaders. The Battle of Kadesh in 1274 BC was one of the defining points of Pharaoh Ramses II's reign, and his monuments commemorate it in bas-relief. A thousand years later, the first emperor of unified China, Qin Shi Huang, was so determined to impress the gods with his military might that he had himself buried with an army of  terracotta soldiers.
The  Romans paid considerable attention to military matters, leaving to posterity many treatises and writings on the subject, as well as many lavishly carved triumphal arches and victory columns.",topic
Firearm,"[legislation_pubs,secnav_pubs,marine_pubs,army_pubs,ex_orders]",210.0,"A firearm is any type of gun designed to be readily carried and used by an individual. The term is legally defined further in different countries (see Legal definitions).
The first firearms originated in 10th-century China, when bamboo tubes containing gunpowder and pellet projectiles were mounted on spears to make the portable fire lance, operable by a single person, which was later used to good effect in the Siege of De'an in 1132. In the 13th century, fire lance barrels were replaced with metal tubes and transformed into the metal-barreled hand cannon. The technology gradually spread throughout Eurasia during the 14th century. Older firearms typically used black powder as a propellant, but modern firearms use smokeless powder or other propellants. Most modern firearms (with the notable exception of smoothbore shotguns) have rifled barrels to impart spin to the projectile for improved flight stability.
Modern firearms can be described by their caliber (i.e. bore diameter). For pistols and rifles this is given in millimeters or inches (e.g. 7.62mm or .308 in.), or in the case of shotguns by their gauge (e.g. 12 ga. and 20 ga.). They are also described by the type of action employed (e.g. muzzleloader, breechloader, lever, bolt, pump, revolver, semi-automatic, fully automatic, etc.), together with the usual means of deportment (i.e. hand-held or mechanical mounting). Further classification may make reference to the type of barrel used (i.e. rifled) and to the barrel length (e.g. 24 inches), to the firing mechanism (e.g. matchlock, wheellock, flintlock, or percussion lock), to the design's primary intended use (e.g. hunting rifle), or to the commonly accepted name for a particular variation (e.g. Gatling gun).
Shooters aim firearms at their targets with hand-eye coordination, using either iron sights or optical sights. The accurate range of pistols generally does not exceed 100 metres (110 yd; 330 ft), while most rifles are accurate to 500 metres (550 yd; 1,600 ft) using iron sights, or to longer ranges whilst using optical sights. (Firearm rounds may be dangerous or lethal well beyond their accurate range; the minimum distance for safety is much greater than the specified range for accuracy). Purpose-built sniper rifles and anti-materiel rifles are accurate to ranges of more than 2,000 metres (2,200 yd).",topic
State of Government,"[Chief_National_Guard_Bureau_Instructions,air_force_pubs,legislation_pubs,Coast_Guard,army_pubs,ex_orders]",207.0,"A state government is the government of a country subdivision in a federal form of government, which shares political power with the federal or national government. A state government may have some level of political autonomy, or be subject to the direct control of the federal government. This relationship may be defined by a constitution.
The reference to ""state"" denotes country subdivisions which are officially or widely known as ""states"", and should not be confused with a ""sovereign state"". Most federations designate their federal units ""state"" or the equivalent term in the local language; however in some federations other designations are used such as Oblast or Republic. Some federations are asymmetric, designating greater powers to some federal units than others.
Provinces are usually divisions of unitary states but occasionally the designation is also given to the federal units such as the Provinces of Argentina or Canada. Their governments, which are also provincial governments, are not the subject of this article.",topic
Children,"[legislation_pubs,milpersman_crawler,Coast_Guard,navy_med_pubs,air_force_pubs,marine_pubs,army_pubs,ex_orders]",207.0,"Biologically, a child (plural children) is a human being between the stages of birth and puberty, or between the developmental period of infancy and puberty. The legal definition of child generally refers to a minor, otherwise known as a person younger than the age of majority. Children generally have fewer rights and less responsibility than adults. They are classed as unable to make serious decisions, and legally must be under the care of their parents or another responsible caregiver. 
Child may also describe a relationship with a parent (such as sons and daughters of any age) or, metaphorically, an authority figure, or signify group membership in a clan, tribe, or religion; it can also signify being strongly affected by a specific time, place, or circumstance, as in ""a child of nature"" or ""a child of the Sixties"".

",topic
Budgetary Effects,[legislation_pubs],207.0,"In economics, the Laffer curve, popularized by supply-side economist Arthur Laffer, illustrates a theoretical relationship between rates of taxation and the resulting levels of the government's tax revenue. The Laffer curve assumes that no tax revenue is raised at the extreme tax rates of 0% and 100%, and that there is a tax rate between 0% and 100% that maximizes government tax revenue. The shape of the curve is a function of taxable income elasticity  – i.e., taxable income changes in response to changes in the rate of taxation.
The Laffer curve is typically represented as a graph that starts at 0% tax with zero revenue, rises to a maximum rate of revenue at an intermediate rate of taxation, and then falls again to zero revenue at a 100% tax rate. However, the shape of the curve is uncertain and disputed among economists. Under the assumption that the revenue is a continuous function of the rate of taxation, the maximum illustrated by the Laffer curve is a result of Rolle's theorem, which is a standard result in calculus.One implication of the Laffer curve is that reducing or increasing tax rates beyond a certain point is counter-productive for raising further tax revenue. In the United States, conservatives have used the Laffer Curve to argue that lower taxes may increase tax revenue. However, the hypothetical maximum revenue point of the Laffer curve for any given economy cannot be observed directly and can only be estimated – such estimates are often controversial. The New Palgrave Dictionary of Economics reports that estimates of revenue-maximizing tax rates have varied widely, with a mid-range of around 70%. A 2012 poll of leading economists found none agreed that reducing the US federal income tax rate would result in higher annual tax revenue within five years. According to a 2012 study, ""the U.S. marginal top [tax] rate is far from the top of the Laffer curve.""The Laffer curve was popularized in the United States with policymakers following an afternoon meeting with Ford Administration officials Dick Cheney and Donald Rumsfeld in 1974, in which Arthur Laffer reportedly sketched the curve on a napkin to illustrate his argument.  The term ""Laffer curve"" was coined by Jude Wanniski, who was also present at the meeting. The basic concept was not new; Laffer himself notes antecedents in the writings of the 14th-century social philosopher Ibn Khaldun and others.

",topic
Navpers,"[navy_reserves,milpersman_crawler,navy_med_pubs,Bupers_Crawler,marine_pubs]",206.0,"Claude-Louis Navier (born Claude Louis Marie Henri Navier; French: [klod lwi maʁi ɑ̃ʁi navje]; 10 February 1785 – 21 August 1836), was a French mechanical engineer, affiliated with the French government, and a physicist whose work was specialized in continuum mechanics.
The Navier–Stokes equations are named after him and George Gabriel Stokes.

",topic
Opioid,"[legislation_pubs,navy_med_pubs]",203.0,"Opioids are substances that, when reaching opioid receptors, have effects similar to those of morphine. Medically they are primarily used for pain relief, including anesthesia. Other medical uses include suppression of diarrhea, replacement therapy for opioid use disorder, reversing opioid overdose, restless leg syndrome, and suppressing cough. Extremely potent opioids such as carfentanil are approved only for veterinary use. Opioids derived from opium are used recreationally by some, at first for their euphoric effects and then to react to withdrawal.Side effects of opioids may include itchiness, sedation, nausea, respiratory depression, constipation, and euphoria. Long-term use can cause tolerance, meaning that increased doses are required to achieve the same effect, and physical dependence, meaning that abruptly discontinuing the drug leads to unpleasant withdrawal symptoms. The euphoria attracts recreational use and frequent, escalating recreational use of opioids typically results in addiction. An overdose or concurrent use with other depressant drugs like benzodiazepines or alcohol commonly results in death from respiratory depression.Opioids act by binding to opioid receptors. They are found principally in the central and peripheral nervous system and the gastrointestinal tract. These receptors mediate both the psychoactive and the somatic effects of opioids. Opioid drugs include partial agonists, like the anti-diarrhea drug loperamide and antagonists like naloxegol for opioid-induced constipation. They do not cross the blood-brain barrier, but can displace other opioids from binding to those receptors.Sixty-nine thousand people worldwide die of opioid overdose each year and 15 million people have an opioid addiction.Because opioids are addictive and may result in fatal overdose, most are controlled substances. In 2013, between 28 and 38 million people used opioids illicitly (0.6% to 0.8% of the global population between the ages of 15 and 65). In 2011, an estimated 4 million people in the United States used opioids recreationally or were dependent on them. As of 2015, increased rates of recreational use and addiction were attributed to over-prescription of opioid medications and inexpensive illicit heroin. Conversely, fears about over-prescribing, exaggerated side effects, and addiction from opioids are similarly blamed for under-treatment of pain.",topic
Immigration Nationality,[legislation_pubs],201.0,"The Immigration and Nationality Act of 1965, also known as the Hart–Celler Act, is a federal law passed by the 89th United States Congress and signed into law by President Lyndon B. Johnson. The law abolished the National Origins Formula, which had been the basis of U.S. immigration policy since the 1920s. The act removed de facto discrimination against Southern and Eastern Europeans, Asians, as well as other non-Northwestern European ethnic groups from American immigration policy.
The National Origins Formula had been established in the 1920s to preserve American homogeneity by promoting immigration from Northwestern Europe. During the 1960s, at the height of the Civil Rights Movement, this approach increasingly came under attack for being racially discriminatory. With the support of the Johnson administration, Senator Philip Hart and Congressman Emanuel Celler introduced a bill to repeal the formula. The bill received wide support from both northern Democratic and Republican members of Congress, but strong opposition mostly from Southern Democrats, the latter mostly voting Nay or Not Voting. This issue served as an inter-party commonality amongst constituents and reflects the similar Congressional District and Representative voting patterns. President Johnson signed the Hart–Celler Act into law on October 3, 1965. In opening entry to the U.S. to immigrants other than Northwestern European and Germanic groups, the Act significantly altered immigration demographics in the U.S.The Hart–Celler Act created a seven-category preference system that gives priority to relatives and children of U.S. citizens and legal permanent residents, professionals and other individuals with specialized skills, and refugees. The act maintained per-country and total immigration limits, but included a provision exempting immediate relatives of U.S. citizens from numerical restrictions. The act also set a numerical limit on immigration from the Western Hemisphere for the first time in U.S. history. Though proponents of the bill had argued that it would not have a major effect on the total level of immigration or the demographic mix of the U.S, the act greatly increased the total number of immigrants as well as the share of immigrants from Asia and Africa.",topic
Potable Water,"[air_force_pubs,army_pubs,marine_pubs,nato_stanag,legislation_pubs,navy_med_pubs,ex_orders]",200.0,"Drinking water, also known as potable water, is water that is safe to drink or use for food preparation. The amount of drinking water required to maintain good health varies, and depends on physical activity level, age, health-related issues, and environmental conditions. For those who work in a hot climate, up to 16 litres (about four gallons) a day may be required.Typically in developed countries, tap water meets drinking water quality standards, even though only a small proportion is actually consumed or used in food preparation. Other typical uses include washing, toilets, and irrigation. Greywater may also be used for toilets or irrigation. Its use for irrigation however may be associated with risks. Water may also be unacceptable due to levels of toxins or suspended solids.
Globally, by 2015, 89% of people had access to water from a source that is suitable for drinking – called improved water source. In Sub-Saharan Africa, access to potable water ranged from 40% to 80% of the population. Nearly 4.2 billion people worldwide had access to tap water, while another 2.4 billion had access to wells or public taps. The World Health Organization considers access to safe drinking-water a basic human right.
About 1 to 2 billion people lack safe drinking water, a problem that causes 30,000 deaths each week. More people die from unsafe water than from war, then-U.N. Secretary-General Ban Ki-moon said in 2010.",topic
Taxpayer,"[legislation_pubs,air_force_pubs,ex_orders]",199.0,"A taxpayer is a person or organization (such as a company) subject to pay a tax. Modern taxpayers may have an  identification number, a reference number issued by a government to citizens or firms.
The term ""taxpayer"" generally characterizes one who pays taxes. A taxpayer is an individual or entity that is obligated to make payments to municipal or government taxation-agencies.
Taxes can exist in the form of income taxes and/or property taxes imposed on owners of real property (such as homes and vehicles), along with many other forms. Most adults are taxpayers. Virtually every human being becomes a taxpayer at some point. People may pay taxes when they pay for goods and services which are taxed. The term ""taxpayer"" often refers to the workforce of a country which pays for government systems and projects through taxation. The taxpayers' money becomes part of the public funds, which comprise all money spent or invested by government to satisfy individual or collective needs or to generate future benefits. For tax purposes, business entities are also taxpayers, making their revenues and expenditures subject to taxation.

",topic
Enforcement,"[army_pubs,legislation_pubs,Coast_Guard,air_force_pubs,secnav_pubs,marine_pubs,ex_orders]",198.0,"Enforcement is the process of ensuring compliance with laws, regulations, rules, standards, and social norms.Governments attempt to effectuate successful implementation of policies by enforcing laws and regulations.
Enactment refers to application of a law or regulation, or carrying out of an executive or judicial order.

",topic
Borrower,"[legislation_pubs,air_force_pubs,army_pubs]",194.0,"A debtor or debitor is a legal entity (legal person) that owes a debt to another entity. The entity may be an individual, a firm, a government, a company or other legal person. The counterparty is called a creditor. When the counterpart of this debt arrangement is a bank, the debtor is more often referred to as a borrower.
If X borrowed money from his/her bank, X is the debtor and the bank is the creditor. If X puts money in the bank, X is the creditor and the bank is the debtor.
It is not a crime to fail to pay a debt. Except in certain bankruptcy situations, debtors can choose to pay debts in any priority they choose. But if one fails to pay a debt, they have broken a contract or agreement between them and a creditor. Generally, most oral and written agreements for the repayment of consumer debt - debts for personal, family or household purposes secured primarily by a person's residence - are enforceable.For the most part, debts that are business related must be made in writing to be enforceable by law. If the written agreement requires the debtor to pay a specific amount of money, then the creditor does not have to accept any lesser amount, and should be paid in full.
Also, if there was no actual agreement but the creditor has proven to have loaned an amount of money, undertaken services or given the debtor a product, the debtor must then pay the creditor.",topic
