Agency_Aliases,Agency_Name,Website,Address,Email,Phone,TTY,TollFree,Government_Branch,Parent_Agency,Related_Agency,Agency_Image
MBDA,Minority Business Development Agency,https://www.mbda.gov/,"1401 Constitution Ave., NW 
Washington, DC 20230",  ,1-202-482-0101,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Commerce,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Seal_of_the_United_States_Department_of_Commerce.svg/1000px-Seal_of_the_United_States_Department_of_Commerce.svg.png
NIST,National Institute of Standards and Technology,https://www.nist.gov/,"100 Bureau Dr. 
Stop 1070 
Gaithersburg, MD 20899-1070",inquiries@nist.gov,1-301-975-6478,1-800-877-8339,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Commerce,Weights and Measures Division,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Seal_of_the_United_States_Department_of_Commerce.svg/1000px-Seal_of_the_United_States_Department_of_Commerce.svg.png
NOAA,National Oceanic and Atmospheric Administration,https://www.noaa.gov/,"1401 Constitution Ave., NW 
Room 5128 
Washington, DC 20230",  ,  ,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Commerce,NOAA Fisheries;National Ocean Service;National Weather Service;Seafood Inspection Program,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Seal_of_the_United_States_Department_of_Commerce.svg/1000px-Seal_of_the_United_States_Department_of_Commerce.svg.png
NTIS,National Technical Information Service,https://www.ntis.gov/,"5301 Shawnee Rd. 
Alexandria, VA 22312",info@ntis.gov,1-703-605-6050,  ,1-888-584-8332,Executive Department Sub-Office/Agency/Bureau,United States Department of Commerce,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Seal_of_the_United_States_Department_of_Commerce.svg/1000px-Seal_of_the_United_States_Department_of_Commerce.svg.png
NTIA,National Telecommunications and Information Administration,https://www.ntia.doc.gov/,"1401 Constitution Ave., NW 
Washington, DC 20230",  ,1-202-482-2000,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Commerce,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Seal_of_the_United_States_Department_of_Commerce.svg/1000px-Seal_of_the_United_States_Department_of_Commerce.svg.png
USPTO,Patent and Trademark Office,https://www.uspto.gov/,  ,usptoinfo@uspto.gov,1-571-272-1000,1-571-272-9950,1-800-786-9199,Executive Department Sub-Office/Agency/Bureau,United States Department of Commerce,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Seal_of_the_United_States_Department_of_Commerce.svg/1000px-Seal_of_the_United_States_Department_of_Commerce.svg.png
USAF;AF;Air Force,United States Air Force,https://www.af.mil/,"1690 Air Force Pentagon 
Washington, DC 20330-1670",  ,  ,  ,1-800-423-8723,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,Air Force Reserve Command,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Seal_of_the_United_States_Department_of_the_Air_Force.svg/1024px-Seal_of_the_United_States_Department_of_the_Air_Force.svg.png
USArmy; Army,United States Army,https://www.army.mil/,"The Pentagon 
Washington, DC 20310",  ,1-703-695-6518,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,"Army Corps of Engineers;Military Academy, West Point;Joint Program Executive Office for Chemical and Biological Defense;National Guard",https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Mark_of_the_United_States_Army.svg/1000px-Mark_of_the_United_States_Army.svg.png
DAU,Defense Acquisition University,https://www.dau.edu/,"9820 Belvoir Rd. 
Fort Belvoir, VA 22060",dauhelp@dau.mil,1-703-805-3459,  ,1-866-568-6924,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png
DARPA,Defense Advanced Research Projects Agency,https://www.darpa.mil/,"675 North Randolph St. 
Arlington, VA 22203-2114",  ,1-703-526-6630,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png
DECA,Defense Commissary Agency,https://www.commissaries.com/,"1300 E Ave. 
Fort Lee, VA 23801–1800",  ,  ,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png
DCAA,Defense Contract Audit Agency,https://www.dcaa.mil/,"8725 John J. Kingman Rd. 
Fort Belvoir, VA 22060",  ,1-703-767-3265,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png
DCMA,Defense Contract Management Agency,https://www.dcma.mil/,"3901 A Ave., Building 10500 
Fort Lee, VA 23801-1809",  ,1-804-734-0628,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png
DFAS,Defense Finance and Accounting Service,https://www.dfas.mil/,"Crystal Mall 3 
Room 920 
Arlington, VA 22240-5291",  ,1-888-332-7411,  ,1-888-332-7411,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,Defense Finance and Accounting Service Garnishment Operations Center;Defense Finance and Accounting Service Debt and Claims Management Center,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png
Defense Health Agency,Defense Health Agency,https://www.health.mil/About-MHS/OASDHA/Defense-Health-Agency,"7700 Arlington Blvd. 
Suite 5101 
Falls Church, VA 22042-5101",  ,  ,1-800-799-4889,1-800-273-8255;1-877-995-5247,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png
DISA,Defense Information Systems Agency,https://www.usa.gov/federal-agencies/defense-information-systems-agency,"P.O. Box 549 
Fort Meade, MD 20755-0549",  ,1-301-225-8100,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png
DIA,Defense Intelligence Agency,https://www.dia.mil/,"The Pentagon 
Washington, DC 20340-5100",DIA-PAO@dodiis.mil,1-202-231-5554,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,National Intelligence University,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png
DLA,Defense Logistics Agency,https://www.dla.mil/,"Andrew T. McNamara Building 
8725 John J. Kingman Rd. 
Fort Belvoir, VA 22060-6221",dlacontactcenter@dla.mil,1-269-961-7766,  ,1-877-352-2255,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png
DSCA,Defense Security Cooperation Agency,https://www.dsca.mil/,"2800 Defense Pentagon 
Wasington, DC 20301-2800",dsca.ncr.lmo.mbx.info@mail.mil,1-703-697-9709,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png
DSS,Defense Security Service,https://www.dcsa.mil/,"10430 Furnace Rd. 
Suite 101 
Lorton, VA 22079",call.center@dsshelp.org,1-888-282-7682,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png
DTIC,Defense Technical Information Center,https://discover.dtic.mil/,"8725 John J. Kingman Rd. 
Suite 0944 
Ft. Belvoir, VA 22060-6218",dtic.belvoir.us.mbx.dtic-access@mail.mil,1-703-767-8274,  ,1-800-225-3842,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png
DTRA,Defense Threat Reduction Agency,https://www.dtra.mil/,"8725 John J. Kingman Rd. 
Stop 6201 
Ft. Belvoir, VA 22060-6201",dtra.publicaffairs@dtra.mil,1-703-767-5870,  ,1-800-701-5096,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png
FVAP,Federal Voting Assistance Program,https://www.fvap.gov/,"4800 Mark Center Dr. 
Mailbox 10 
Arlington, VA 22350-5000",vote@fvap.gov,1-800-438-8683,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png
USFF,Fleet Forces Command,https://www.public.navy.mil/usff/Pages/default.aspx,"Fleet Public Affairs (N01P) 
1562 Mitscher Ave., Suite 250 
Norfolk, VA 23551-2487",  ,1-757-836-3644,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png
JCS,Joint Chiefs of Staff,https://www.jcs.mil/,"9999 Joint Staff Pentagon 
Washington, DC 20318-9999",  ,1-703-545-6700,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png
MDA,Missile Defense Agency,https://www.mda.mil/,"5700 18th St. 
Bldg. 245 
Fort Belvoir, VA 22060-5573",mda.info@mda.mil,  ,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png
NDU,National Defense University,https://www.ndu.edu/,"300 5th Ave. 
Bldg. 62 
Fort McNair, DC 20319-5066",NDUWebmaster@ndu.edu,1-202-685-2128,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,Dwight D. Eisenhower School for National Security and Resource Strategy;Information Resource Management College;Joint Forces Staff College;National War College,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png
NGA,National Geospatial-Intelligence Agency,https://www.nga.mil/Pages/Default.aspx,"Public Affairs, MS N73-OCCAE 
7500 GEOINT Dr. 
Springfield, VA 22150-7500",publicaffairs@nga.mil,1-571-557-5400,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png
NRO,National Reconnaissance Office,https://www.nro.gov/,"14675 Lee Rd. 
Chantilly, VA 20151-1715",  ,1-703-808-1198,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png
NSA,National Security Agency,https://www.nsa.gov/,"9800 Savage Rd. 
Suite 6272 
Fort Meade, MD 20755-6000",  ,1-301-688-6311,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png
Navy,United States Navy,https://www.navy.mil/,"1000 Navy Pentagon 
Washington, DC 20350-1200",  ,  ,  ,1-800-872-6289,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,United States Marine Corps,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Emblem_of_the_United_States_Navy.svg/1000px-Emblem_of_the_United_States_Navy.svg.png
OEA,Office of Economic Adjustment,https://oea.gov/,"2231 Crystal Dr. 
Suite 520 
Arlington, VA 22202",  ,1-703-697-2130,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png
PFPA,Pentagon Force Protection Agency,https://www.pfpa.mil/,  ,pfpa.pentagon.cco.mbx.general@mail.mil,1-703-697-1001;1-703-697-5555,1-703-693-7008,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png
Prisoner of War and Missing in Action Accounting Agency,Prisoner of War and Missing in Action Accounting Agency,https://www.dpaa.mil/,"2600 Defense Pentagon 
Attn: External Affairs 
Washington, DC 20301-2600","
outreach.DPMO@osd.mil","
1-703-699-1420",  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png
UCC,Unified Combatant Commands,https://www.defense.gov/,"1400 Defense Pentagon 
Washington, DC 20301-1400",  ,1-703-571-3343,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,United States Central Command;United States European Command;United States Northern Command;United States Pacific Command;United States Southern Command;United States Special Operations Command;United States Strategic Command;United States Transportation Command,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png
USUHS,Uniformed Services University of the Health Sciences,https://www.usuhs.edu/,"4301 Jones Bridge Rd. 
Bethesda, MD 20814",webmaster@usuhs.edu,1-301-295-3013;1-301-295-3383,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png
WHS,Washington Headquarters Services,https://www.whs.mil/,"Washington Headquarters Services 
1155 Defense Pentagon 
Washington, DC 20301-1155","
information@whs.mil",  ,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png
OCTAE,"Office of Career, Technical, and Adult Education",https://www2.ed.gov/about/offices/list/ovae/index.html,"400 Maryland Ave., SW 
Washington, DC 20202-7100",ovae@ed.gov,1-202-245-7700,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Education,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Seal_of_the_United_States_Department_of_Education.svg/1000px-Seal_of_the_United_States_Department_of_Education.svg.png
OCR,"Office for Civil Rights, United States Department of Education",https://www2.ed.gov/about/offices/list/ocr/index.html,"
400 Maryland Ave., SW 
Washington, DC 20202-1100",ocr@ed.gov,1-202-245-6700,"
1-800-877-8339","
1-800-421-3481",Executive Department Sub-Office/Agency/Bureau,United States Department of Education,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Seal_of_the_United_States_Department_of_Education.svg/1000px-Seal_of_the_United_States_Department_of_Education.svg.png
Commission on Presidential Scholars,Commission on Presidential Scholars,https://www2.ed.gov/programs/psp/commission.html?exp=0,"Commission on Presidential Scholars 
U.S. Department of Education 
400 Maryland Ave., SW 
Washington, DC 20202-8173",Presidential.Scholars@ed.gov,1-202-401-0961;1-319-341-2777,  ,  ,Independent Agency,United States Department of Education,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Seal_of_the_United_States_Department_of_Education.svg/1000px-Seal_of_the_United_States_Department_of_Education.svg.png
OESE,Office of Elementary and Secondary Education,https://oese.ed.gov/,"400 Maryland Ave., SW 
Washington, DC 20202",oese@ed.gov,1-202-401-0113,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Education,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Seal_of_the_United_States_Department_of_Education.svg/1000px-Seal_of_the_United_States_Department_of_Education.svg.png
English Language Acquisition Office,English Language Acquisition Office,https://www2.ed.gov/about/offices/list/oela/index.html?src=oc,  ,  ,  ,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Education,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Seal_of_the_United_States_Department_of_Education.svg/1000px-Seal_of_the_United_States_Department_of_Education.svg.png
Federal Student Aid Information Center,Federal Student Aid Information Center,https://studentaid.gov/,"PO Box 84 
Washington, DC 20044-0084",studentaid@ed.gov,  ,"
1-800-730-8913;1-877-825-9923;1-800-557-7395",1-800-433-3243;1-800-621-3115;1-800-557-7392 ,Executive Department Sub-Office/Agency/Bureau,United States Department of Education,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Seal_of_the_United_States_Department_of_Education.svg/1000px-Seal_of_the_United_States_Department_of_Education.svg.png
Innovation and Improvement Office,Innovation and Improvement Office,https://oese.ed.gov/,"400 Maryland Ave., SW 
Washington, DC 20202",  ,1-202-205-4500,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Education,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Seal_of_the_United_States_Department_of_Education.svg/1000px-Seal_of_the_United_States_Department_of_Education.svg.png
IES,Institute of Education Sciences,https://www2.ed.gov/about/offices/list/ies/index.html,"555 New Jersey Ave., NW 
Washington, DC 20208",contact.ies@ed.gov,1-202-219-1385,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Education,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Seal_of_the_United_States_Department_of_Education.svg/1000px-Seal_of_the_United_States_Department_of_Education.svg.png
OPE,Office of Postsecondary Education,https://www2.ed.gov/about/offices/list/ope/index.html,"1990 K St., NW 
Washington, DC 20006",  ,1- 202-502-7750,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Education,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Seal_of_the_United_States_Department_of_Education.svg/1000px-Seal_of_the_United_States_Department_of_Education.svg.png
OSERS,Office of Special Education and Rehabilitative Services,https://www2.ed.gov/about/offices/list/osers/index.html,"400 Maryland Ave., SW 
Washington, DC 20202-7100",  ,1-202-245-7468,"
1-202-205-4208",1-800-872-5327,Executive Department Sub-Office/Agency/Bureau,United States Department of Education,Rehabilitation Services Administration;Center for Parent Information and Resources,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Seal_of_the_United_States_Department_of_Education.svg/1000px-Seal_of_the_United_States_Department_of_Education.svg.png
EIA,Energy Information Administration,https://www.eia.gov/,"1000 Independence Ave., SW 
Washington, DC 20585",InfoCtr@eia.gov,1-202-586-8800,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Energy,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Seal_of_the_United_States_Department_of_Energy.svg/1000px-Seal_of_the_United_States_Department_of_Energy.svg.png
EM,Office of Environmental Management,https://www.energy.gov/em/office-environmental-management,"U.S. Department of Energy 
Attention: Office of Environmental Management 
1000 Independence Ave., SW 
Washington, DC 20585","
EM.WebContentManager@em.doe.gov",1-202-586-7709,1-800-877-8339,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Energy,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Seal_of_the_United_States_Department_of_Energy.svg/1000px-Seal_of_the_United_States_Department_of_Energy.svg.png
FERC,Federal Energy Regulatory Commission,https://www.ferc.gov/,"888 First St., NE 
Washington, DC 20426",customer@ferc.gov,1-202-502-6088,1-202-502-8659,1-866-208-3372,Executive Department Sub-Office/Agency/Bureau,United States Department of Energy,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Seal_of_the_United_States_Department_of_Energy.svg/1000px-Seal_of_the_United_States_Department_of_Energy.svg.png
FE,Office of Fossil Energy,https://www.energy.gov/fe/office-fossil-energy,"1000 Independence Ave., SW 
Washington, DC 20585",FECommunications@hq.doe.gov,1-202-586-6660,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Energy,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Seal_of_the_United_States_Department_of_Energy.svg/1000px-Seal_of_the_United_States_Department_of_Energy.svg.png
National Laboratories,National Laboratories,https://www.energy.gov/national-laboratories,  ,  ,  ,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Energy,Oak Ridge National Laboratory,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Seal_of_the_United_States_Department_of_Energy.svg/1000px-Seal_of_the_United_States_Department_of_Energy.svg.png
NNSA,National Nuclear Security Administration,https://www.energy.gov/nnsa/national-nuclear-security-administration,"1000 Independence Ave., SW 
Washington, DC 20585",  ,1-202-586-5000 ,  ,1-800-342-5363,Executive Department Sub-Office/Agency/Bureau,United States Department of Energy,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Seal_of_the_United_States_Department_of_Energy.svg/1000px-Seal_of_the_United_States_Department_of_Energy.svg.png
Office of Nuclear Energy,Office of Nuclear Energy,https://www.energy.gov/ne/office-nuclear-energy,  ,  ,1-202-586-5000,1-800-877-8339,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Energy,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Seal_of_the_United_States_Department_of_Energy.svg/1000px-Seal_of_the_United_States_Department_of_Energy.svg.png
Power Administrations,Power Administrations,https://www.energy.gov/offices,  ,  ,  ,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Energy,Bonneville Power Administration;Southeastern Power Administration;Southwestern Power Administration;Western Area Power Administration,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Seal_of_the_United_States_Department_of_Energy.svg/1000px-Seal_of_the_United_States_Department_of_Energy.svg.png
Science Office,Science Office,https://www.energy.gov/science/office-science,"1000 Independence Ave., SW 
Washington, DC 20585",  ,1-202-586-5430,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Energy,Office of Scientific and Technical Information,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Seal_of_the_United_States_Department_of_Energy.svg/1000px-Seal_of_the_United_States_Department_of_Energy.svg.png
ACF,Administration for Children and Families,https://www.acf.hhs.gov/,"330 C St., SW 
Washington, DC 20201",  ,1-202-401-9200,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Health and Human Services,Office of Child Support Enforcement;Administration for Native Americans;Office of Refugee Resettlement,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Seal_of_the_United_States_Department_of_Health_and_Human_Services.svg/1000px-Seal_of_the_United_States_Department_of_Health_and_Human_Services.svg.png
ACL,Administration for Community Living,https://acl.gov/,"One Massachusetts Ave., NW 
Washington, DC 20201",  ,1-202-619-0724,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Health and Human Services,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Seal_of_the_United_States_Department_of_Health_and_Human_Services.svg/1000px-Seal_of_the_United_States_Department_of_Health_and_Human_Services.svg.png
AHRQ,Agency for Healthcare Research and Quality,https://www.ahrq.gov/,"Office of Communications and Knowledge Transfer 
540 Gaither Rd., Suite 2000 
Rockville, MD 20850",  ,1-301-427-1104,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Health and Human Services,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Seal_of_the_United_States_Department_of_Health_and_Human_Services.svg/1000px-Seal_of_the_United_States_Department_of_Health_and_Human_Services.svg.png
CDC,Centers for Disease Control and Prevention,https://www.cdc.gov/,"1600 Clifton Rd. 
Atlanta, GA 30329",  ,  ,1-888-232-6348,1-800-232-4636,Executive Department Sub-Office/Agency/Bureau,United States Department of Health and Human Services,Agency for Toxic Substances and Disease Registry;National Institute of Occupational Safety and Health;National Prevention Information Network,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/US_CDC_logo.svg/1000px-US_CDC_logo.svg.png
CMS,Centers for Medicare and Medicaid Services,https://www.cms.gov/,"Office of External Affairs 
7500 Security Blvd. 
Baltimore, MD 21244",  ,  ,1-877-486-2048,1-800-633-4227;1-800-447-8477 ,Executive Department Sub-Office/Agency/Bureau,United States Department of Health and Human Services,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Seal_of_the_United_States_Department_of_Health_and_Human_Services.svg/1000px-Seal_of_the_United_States_Department_of_Health_and_Human_Services.svg.png
OCR,"Office for Civil Rights, United States Department of Health and Human Services",https://www.hhs.gov/ocr/index.html,"Filing Complaints with OCR 
200 Independence Ave., SW 
Room 509F, HHH Building 
Washington, DC 20201",OCRMail@hhs.gov,  ,1-800-537-7697,1-800-368-1019,Executive Department Sub-Office/Agency/Bureau,United States Department of Health and Human Services,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Seal_of_the_United_States_Department_of_Health_and_Human_Services.svg/1000px-Seal_of_the_United_States_Department_of_Health_and_Human_Services.svg.png
FDA,Food and Drug Administration,https://www.fda.gov/,"10903 New Hampshire Ave. 
Silver Spring, MD 20993",  ,  ,  ,1-888-463-6332,Executive Department Sub-Office/Agency/Bureau,United States Department of Health and Human Services,Center for Food Safety and Applied Nutrition,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Seal_of_the_United_States_Department_of_Health_and_Human_Services.svg/1000px-Seal_of_the_United_States_Department_of_Health_and_Human_Services.svg.png
Health Resources and Services Administration,Health Resources and Services Administration,https://www.hrsa.gov/,"5600 Fishers Lane 
Rockville, MD 20857",ask@hrsa.gov,  ,1-877-489-4772,1-888-275-4772,Executive Department Sub-Office/Agency/Bureau,United States Department of Health and Human Services,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Seal_of_the_United_States_Department_of_Health_and_Human_Services.svg/1000px-Seal_of_the_United_States_Department_of_Health_and_Human_Services.svg.png
HIS,Indian Health Service,https://www.ihs.gov/,"801 Thompson Ave. 
Suite 400 
Rockville, MD 20852",  ,1-301-443-3593,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Health and Human Services,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Seal_of_the_United_States_Department_of_Health_and_Human_Services.svg/1000px-Seal_of_the_United_States_Department_of_Health_and_Human_Services.svg.png
Office of Minority Health,Office of Minority Health,https://minorityhealth.hhs.gov/,"Tower Oaks Building 
1101 Wootton Parkway, Suite 600 
Rockville, MD 20852",  ,1-240-453-2882,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Health and Human Services,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Seal_of_the_United_States_Department_of_Health_and_Human_Services.svg/1000px-Seal_of_the_United_States_Department_of_Health_and_Human_Services.svg.png
