Agency_Aliases,entity_name,Website,Address,Email,Phone,TTY,TollFree,Government_Branch,Parent_Agency,Related_Agency,Agency_Image,entity_type,crawlers,num_mentions,information,information_source,information_retrieved
NDU,National Defense University,https://www.ndu.edu/,"300 5th Ave. 
Bldg. 62 
Fort McNair, DC 20319-5066",NDUWebmaster@ndu.edu,1-202-685-2128,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,Dwight D. Eisenhower School for National Security and Resource Strategy;Information Resource Management College;Joint Forces Staff College;National War College,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png,org,,,"The National Defense University (NDU) is an institution of higher education funded by the United States Department of Defense, intended to facilitate high-level education, training, and professional development of national security leaders. As a chairman's Controlled Activity, NDU operates under the guidance of the Chairman of the Joint Chiefs of Staff (CJCS), with Lieutenant General Michael T. Plehn, USAF, as president. It is located on the grounds of Fort Lesley J. McNair in Washington, D.C.",Wikipedia,2021-12-23
NGA,National Geospatial-Intelligence Agency,https://www.nga.mil/Pages/Default.aspx,"Public Affairs, MS N73-OCCAE 
7500 GEOINT Dr. 
Springfield, VA 22150-7500",publicaffairs@nga.mil,1-571-557-5400,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png,org,,,"The National Geospatial-Intelligence Agency (NGA) is a combat support agency within the United States Department of Defense whose primary mission is collecting, analyzing, and distributing geospatial intelligence (GEOINT) in support of national security. Initially known as the National Imagery and Mapping Agency (NIMA) from 1996 to 2003, it is one of the ""big five"" members of the United States Intelligence Community.NGA headquarters, also known as NGA Campus East or NCE, is located at Fort Belvoir North Area in Springfield, Virginia. The agency also operates major facilities in the St. Louis, Missouri area (referred to as NGA Campus West or NCW), as well as support and liaison offices worldwide. The NGA headquarters, at 2,300,000 square feet (210,000 m2), is the third-largest government building in the Washington metropolitan area after The Pentagon and the Ronald Reagan Building.In addition to using GEOINT for U.S. military and intelligence efforts, NGA provides assistance during natural and man-made disasters, aids in security planning for major events such as the Olympic Games, disseminates maritime safety information, and gathers data on climate change.On February 22, 2010, Secretary of Defense Robert Gates announced that Letitia Long would become director later that year, becoming the first woman to head one of the Intelligence Community component agencies. Long was at the time deputy director of the DIA.",Wikipedia,2021-12-23
NRO,National Reconnaissance Office,https://www.nro.gov/,"14675 Lee Rd. 
Chantilly, VA 20151-1715",  ,1-703-808-1198,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png,org,,,"The National Reconnaissance Office (NRO) is a member of the United States Intelligence Community and an agency of the United States Department of Defense which designs, builds, launches, and operates the reconnaissance satellites of the U.S. federal government, and provides satellite intelligence to several government agencies, particularly signals intelligence (SIGINT) to the NSA, imagery intelligence (IMINT) to the NGA, and measurement and signature intelligence (MASINT) to the DIA.NRO is considered, along with the Central Intelligence Agency (CIA), National Security Agency (NSA), Defense Intelligence Agency (DIA), and National Geospatial-Intelligence Agency (NGA), to be one of the ""big five"" U.S. intelligence agencies. The NRO is headquartered in Chantilly, Virginia, 2 miles (3.2 km) south of the Washington Dulles International Airport.The Director of the NRO reports to both the Director of National Intelligence and the Secretary of Defense. The NRO's federal workforce is a hybrid organization consisting of some 3000 personnel including NRO cadre, Air Force, Army, CIA, NGA, NSA, Navy and US Space Force   personnel.  A 1996 bipartisan commission report described the NRO as having by far the largest budget of any intelligence agency, and ""virtually no federal workforce"", accomplishing most of its work through ""tens of thousands"" of defense contractor personnel.",Wikipedia,2021-12-23
NSA,National Security Agency,https://www.nsa.gov/,"9800 Savage Rd. 
Suite 6272 
Fort Meade, MD 20755-6000",  ,1-301-688-6311,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png,org,,,"The National Security Agency (NSA) is a national-level intelligence agency of the United States Department of Defense, under the authority of the Director of National Intelligence (DNI). The NSA is responsible for global monitoring, collection, and processing of information and data for foreign and domestic intelligence and counterintelligence purposes, specializing in a discipline known as signals intelligence (SIGINT). The NSA is also tasked with the protection of U.S. communications networks and information systems. The NSA relies on a variety of measures to accomplish its mission, the majority of which are clandestine. The existence of the NSA was not revealed until 1975.Originating as a unit to decipher coded communications in World War II, it was officially formed as the NSA by President Harry S. Truman in 1952. Between then and the end of the Cold War, it became the largest of the U.S. intelligence organizations in terms of personnel and budget, but information available as of 2013 indicates that the CIA pulled ahead in this regard, with a budget of $14.7 billion. The NSA currently conducts worldwide mass data collection and has been known to physically bug electronic systems as one method to this end. The NSA is also alleged to have been behind such attack software as Stuxnet, which severely damaged Iran's nuclear program. The NSA, alongside the Central Intelligence Agency (CIA), maintains a physical presence in many countries across the globe; the CIA/NSA joint Special Collection Service (a highly classified intelligence team) inserts eavesdropping devices in high value targets (such as presidential palaces or embassies). SCS collection tactics allegedly encompass ""close surveillance, burglary, wiretapping, [and] breaking and entering"".Unlike the CIA and the Defense Intelligence Agency (DIA), both of which specialize primarily in foreign human espionage, the NSA does not publicly conduct human-source intelligence gathering. The NSA is entrusted with providing assistance to, and the coordination of, SIGINT elements for other government organizations – which are prevented by law from engaging in such activities on their own. As part of these responsibilities, the agency has a co-located organization called the Central Security Service (CSS), which facilitates cooperation between the NSA and other U.S. defense cryptanalysis components. To further ensure streamlined communication between the signals intelligence community divisions, the NSA Director simultaneously serves as the Commander of the United States Cyber Command and as Chief of the Central Security Service.The NSA's actions have been a matter of political controversy on several occasions, including its spying on anti–Vietnam War leaders and the agency's participation in economic espionage. In 2013, the NSA had many of its secret surveillance programs revealed to the public by Edward Snowden, a former NSA contractor. According to the leaked documents, the NSA intercepts and stores the communications of over a billion people worldwide, including United States citizens. The documents also revealed the NSA tracks hundreds of millions of people's movements using cellphones' metadata. Internationally, research has pointed to the NSA's ability to surveil the domestic Internet traffic of foreign countries through ""boomerang routing"".",Wikipedia,2021-12-23
Navy,United States Navy,https://www.navy.mil/,"1000 Navy Pentagon 
Washington, DC 20350-1200",  ,  ,  ,1-800-872-6289,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,United States Marine Corps,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Emblem_of_the_United_States_Navy.svg/1000px-Emblem_of_the_United_States_Navy.svg.png,org,,,"The United States Navy (USN) is the maritime service branch of the United States Armed Forces and one of the eight uniformed services of the United States. It is the largest and most powerful navy in the world, with the estimated tonnage of its active battle fleet alone exceeding the next 13 navies combined, including 11 U.S. allies or partner nations as of 2015. It has the highest combined battle fleet tonnage (4,635,628 tonne as of 2019) and the world's largest aircraft carrier fleet, with eleven in service, two new carriers under construction, and five other carriers planned. With 336,978 personnel on active duty and 101,583 in the Ready Reserve, the U.S. Navy is the third largest of the U.S. military service branches in terms of personnel. It has 290 deployable combat vessels and more than 3,700 operational aircraft as of June 2019.The U.S. Navy traces its origins to the Continental Navy, which was established during the American Revolutionary War and was effectively disbanded as a separate entity shortly thereafter. After suffering significant loss of goods and personnel at the hands of the Barbary pirates from Algiers, the U.S. Congress passed the Naval Act of 1794 for the construction of six heavy frigates, the first ships of the U.S. Navy. The U.S. Navy played a major role in the American Civil War by blockading the Confederacy and seizing control of its rivers. It played the central role in the World War II defeat of Imperial Japan. The U.S. Navy emerged from World War II as the most powerful navy in the world. The 21st century U.S. Navy maintains a sizable global presence, deploying in strength in such areas as the Western Pacific, the Mediterranean, and the Indian Ocean. It is a blue-water navy with the ability to project force onto the littoral regions of the world, engage in forward deployments during peacetime and rapidly respond to regional crises, making it a frequent actor in U.S. foreign and military policy.The U.S. Navy is part of the Department of the Navy, alongside the U.S. Marine Corps, which is its coequal sister service. The Department of the Navy is headed by the civilian Secretary of the Navy. The Department of the Navy is itself a military department of the Department of Defense, which is headed by the Secretary of Defense. The Chief of Naval Operations (CNO) is the most senior Navy officer serving in the Department of the Navy.",Wikipedia,2021-12-23
OEA,Office of Economic Adjustment,https://oea.gov/,"2231 Crystal Dr. 
Suite 520 
Arlington, VA 22202",  ,1-703-697-2130,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png,org,,,"The Office of Local Defense Community Cooperation (OLDCC), formerly the Office of Economic Adjustment (OEA), is a United States Department of Defense (DoD) field activity and the DoD's primary source for assisting communities that are adversely impacted (e.g. loss of employment or contracting opportunities) by Defense program changes, including base closures or realignments, base expansions, and contract or program cancellations. To assist affected communities, OLDCC manages and directs the Defense Economic Adjustment Program and coordinates the involvement of other federal agencies.",Wikipedia,2021-12-23
PFPA,Pentagon Force Protection Agency,https://www.pfpa.mil/,  ,pfpa.pentagon.cco.mbx.general@mail.mil,1-703-697-1001;1-703-697-5555,1-703-693-7008,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png,org,,,"The Pentagon Force Protection Agency (PFPA) is a federal law enforcement agency within the U.S. Department of Defense (DoD) charged with protecting and safeguarding the occupants, visitors, and infrastructure of The Pentagon, the Mark Center Building, the Defense Health Agency headquarters, the U.S. Court of Appeals for the Armed Forces and other assigned DoD-occupied leased facilities within the National Capitol Region. As of 2004, the Pentagon Force Protection Agency employed 482 police officers.This mission is accomplished with law enforcement officers (Pentagon Police), criminal investigative and protective services agents; threat management agents; chemical, biological, radiological, nuclear and explosives technicians; and anti-terrorism/force protection and physical security personnel.The Pentagon Force Protection Agency provides a comprehensive protective intelligence analysis capability, which includes threat analysis, threat investigation, and criminal intelligence services to protect Pentagon facilities, employees and senior DoD personnel. The Pentagon Force Protection Agency liaises with other federal law enforcement and intelligence communities and conducts threat assessments and investigations for protective details while they are in the National Capital Region.",Wikipedia,2021-12-23
Prisoner of War and Missing in Action Accounting Agency,Prisoner of War and Missing in Action Accounting Agency,https://www.dpaa.mil/,"2600 Defense Pentagon 
Attn: External Affairs 
Washington, DC 20301-2600","
outreach.DPMO@osd.mil","
1-703-699-1420",  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png,org,,,"Missing in action (MIA) is a casualty classification assigned to combatants, military chaplains, combat medics, and prisoners of war who are reported missing during wartime or ceasefire. They may have been killed, wounded, captured, executed, or deserted. If deceased, neither their remains nor grave has been positively identified. Becoming MIA has been an occupational risk for as long as there has been warfare.",Wikipedia,2021-12-23
UCC,Unified Combatant Commands,https://www.defense.gov/,"1400 Defense Pentagon 
Washington, DC 20301-1400",  ,1-703-571-3343,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,United States Central Command;United States European Command;United States Northern Command;United States Pacific Command;United States Southern Command;United States Special Operations Command;United States Strategic Command;United States Transportation Command,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png,org,,,"A unified combatant command (CCMD), also referred to as a combatant command, is a joint military command of the United States Department of Defense that is composed of units from two or more service branches of the United States Armed Forces, and conducts broad and continuing missions. There are currently 11 unified combatant commands and each are established as the highest echelons of military commands, in order to provide effective command and control of all U.S. military forces, regardless of branch of service, during peace or during war time. Unified combatant commands are organized either on a geographical basis (known as ""area of responsibility"", AOR) or on a functional basis, i.e. special operations, force projection, transport, and cybersecurity. Currently, seven combatant commands are designated as geographical, and four are designated as functional. Unified combatant commands are ""joint"" commands and have specific badges denoting their affiliation. The Unified Command Plan (UCP) establishes the missions, command responsibilities, and geographic areas of responsibility of the combatant commands. Each time the Unified Command Plan is updated, the organization of the combatant commands is reviewed for military efficiency and efficacy, as well as alignment with national policy.Each unified combatant command is led by a combatant commander (CCDR), who is a four-star general or admiral. The combatant commanders are entrusted with a specific type of nontransferable operational command authority over assigned forces, regardless of branch of service. The chain of command for operational purposes (per the Goldwater–Nichols Act) goes from the president of the United States through the secretary of defense to the combatant commanders.",Wikipedia,2021-12-23
USUHS,Uniformed Services University of the Health Sciences,https://www.usuhs.edu/,"4301 Jones Bridge Rd. 
Bethesda, MD 20814",webmaster@usuhs.edu,1-301-295-3013;1-301-295-3383,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png,org,,,"Uniformed Services University of the Health Sciences (USU) is a health science university of the U.S. federal government. The primary mission of the school is to prepare graduates for service to the U.S. at home and abroad in the medical corps as medical professionals, nurses, and physicians.The university consists of the F. Edward Hébert School of Medicine, a medical school, which includes a full health sciences graduate education program, the Daniel K. Inouye Graduate School of Nursing, the Postgraduate Dental College, and the College of Allied Health Sciences. The university's main campus is located in Bethesda, Maryland. USU was established in 1972 under legislation sponsored by U.S. Representative Felix Edward Hébert of Louisiana. It graduated its first class in 1980. USU is accredited by the Commission of Education, Middle States Association of Colleges and Schools.Uniformed Services University falls under the office of the Assistant Secretary of Defense for Health Affairs.",Wikipedia,2021-12-23
WHS,Washington Headquarters Services,https://www.whs.mil/,"Washington Headquarters Services 
1155 Defense Pentagon 
Washington, DC 20301-1155","
information@whs.mil",  ,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Defense,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png,org,,,"Washington Headquarters Services (WHS) is a Department of Defense (DoD) Field Activity, created on October 1, 1977, to provide administrative and management support to multiple DoD components and military departments in the National Capital Region and beyond.Currently, WHS has approximately 1,200 civilian and military employees, and 2,000 contract employees, performing a wide range of essential administrative and management services in support of DoD operations, allowing WHS customer agencies and offices to focus exclusively on their core military missions.",Wikipedia,2021-12-23
OCTAE,"Office of Career, Technical, and Adult Education",https://www2.ed.gov/about/offices/list/ovae/index.html,"400 Maryland Ave., SW 
Washington, DC 20202-7100",ovae@ed.gov,1-202-245-7700,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Education,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Seal_of_the_United_States_Department_of_Education.svg/1000px-Seal_of_the_United_States_Department_of_Education.svg.png,org,,,"The Office of Career, Technical, and Adult Education (OCTAE) formerly Office of Vocational and Adult Education (OVAE) is a subdivision of the United States Department of Education.  OCTAE falls under the supervision of the Undersecretary, who oversees policies, programs and activities related to vocational and adult education, postsecondary education, college aid and the President's financial reforms for the Pell Grant program.OCTAE's director has the rank of Assistant Secretary and serves as the principal adviser to the Secretary of Education on matters related to high school, career technical and adult education and lifelong learning as well as community colleges, workforce and economic development. He or she also represents the Department at national and international meetings related to vocational and adult education. The Office administers, coordinates, and recommends policy for improving quality and excellence of programs related to the Office's focus areas.OCTAE's programs fall into four general areas: Adult education and literacy, represented within OCTAE by the Division of Adult Education and Literacy (DAEL)Career and technical education, represented within OCTAE by the Division of Academic and Technical Education (DATE)Community collegesCorrectional and re-entry educationPrograms under DAEL include the Literacy Information and Communication System (LINCS), launched in 1994 and transferred to the authority of OCTAE in 2010, which encourages adult literacy.",Wikipedia,2021-12-23
OCR,"Office for Civil Rights, United States Department of Education",https://www2.ed.gov/about/offices/list/ocr/index.html,"
400 Maryland Ave., SW 
Washington, DC 20202-1100",ocr@ed.gov,1-202-245-6700,"
1-800-877-8339","
1-800-421-3481",Executive Department Sub-Office/Agency/Bureau,United States Department of Education,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Seal_of_the_United_States_Department_of_Education.svg/1000px-Seal_of_the_United_States_Department_of_Education.svg.png,org,,,"The Office for Civil Rights (OCR) is a sub-agency of the U.S. Department of Education that is primarily focused on enforcing civil rights laws prohibiting schools from engaging in discrimination on the basis of race, color, national origin, sex, disability, age, or membership in patriotic youth organizations.",Wikipedia,2021-12-23
Commission on Presidential Scholars,Commission on Presidential Scholars,https://www2.ed.gov/programs/psp/commission.html?exp=0,"Commission on Presidential Scholars 
U.S. Department of Education 
400 Maryland Ave., SW 
Washington, DC 20202-8173",Presidential.Scholars@ed.gov,1-202-401-0961;1-319-341-2777,  ,  ,Independent Agency,United States Department of Education,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Seal_of_the_United_States_Department_of_Education.svg/1000px-Seal_of_the_United_States_Department_of_Education.svg.png,org,,,"The United States Presidential Scholars Program is a program of the United States Department of Education. It is described as ""one of the Nation's highest honors for students"" in the United States of America and the globe.The program was established in 1964 by Executive Order of the President of the United States to recognize the most distinguished graduating seniors for their accomplishments in many areas: academic success, leadership, and service to school and community. In 1979, it was expanded to recognize students who demonstrate exceptional scholarship and talent in the visual, creative, and performing arts. In 2015, the program was expanded once again to recognize students who demonstrate ability and accomplishment in career and technical fields. In the recent past, the organization has welcomed nominations from individual recommenders of the students' own choosing regardless of whether these students' academic results or achievements otherwise qualified them for recognition; however, per the organization's website, at present, ""application for the U.S. Presidential Scholars Program is by invitation only. Students may not apply individually to the program or be nominated (outside of the above process)."" Annually, the presidentially-appointed White House Commission on Presidential Scholars chooses up to 161 U.S. Presidential Scholars from among that year's senior class. All Scholars are invited to Washington, DC in June for the National Recognition Program, featuring various events and enrichment activities and culminating in the presentation of the Presidential Scholars Medallion during a White House-sponsored ceremony.To commemorate their achievements, the scholars are individually awarded the Presidential Medallion in a ceremony sponsored by the White House.",Wikipedia,2021-12-23
OESE,Office of Elementary and Secondary Education,https://oese.ed.gov/,"400 Maryland Ave., SW 
Washington, DC 20202",oese@ed.gov,1-202-401-0113,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Education,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Seal_of_the_United_States_Department_of_Education.svg/1000px-Seal_of_the_United_States_Department_of_Education.svg.png,org,,,"The Office of Elementary and Secondary Education is a division of the United States Department of Education. Its purpose is to promote academic excellence, enhance educational opportunities and equity for all of America's children and families, and to improve the quality of teaching and learning by providing leadership, technical assistance, and financial things.",Wikipedia,2021-12-23
English Language Acquisition Office,English Language Acquisition Office,https://www2.ed.gov/about/offices/list/oela/index.html?src=oc,  ,  ,  ,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Education,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Seal_of_the_United_States_Department_of_Education.svg/1000px-Seal_of_the_United_States_Department_of_Education.svg.png,org,,,"Second-language acquisition (SLA), sometimes called second-language learning — otherwise referred to as L2 (language 2) acquisition, is the process by which people learn a second language. Second-language acquisition is also the scientific discipline devoted to studying that process. The field of second-language acquisition is a sub-discipline of applied linguistics but also receives research attention from a variety of other disciplines, such as psychology and education.A central theme in SLA research is that of interlanguage: the idea that the language that learners use is not simply the result of differences between the languages that they already know and the language that they are learning, but a complete language system in its own right, with its own systematic rules. This interlanguage gradually develops as learners are exposed to the targeted language. The order in which learners acquire features of their new language stays remarkably constant, even for learners with different native languages and regardless of whether they have had language instruction. However, languages that learners already know can have a significant influence on the process of learning a new one. This influence is known as language transfer.The primary factor driving SLA appears to be the language input that learners receive. Learners become more advanced the longer they are immersed in the language they are learning and the more time they spend voluntarily reading. The input hypothesis developed by linguist Stephen Krashen theorizes that comprehensible input alone is necessary for second language acquisition. Krashen makes a distinction between language acquisition and language learning (the acquisition–learning distinction), claiming that acquisition is a subconscious process, whereas learning is a conscious one. According to this hypothesis, the acquisition process in L2 (Language 2) is the same as L1 (Language 1) acquisition. Learning, on the other hand, refers to conscious learning and analysis of the language being learned. Krashen argues that consciously learned language rules play a limited role in language use, serving as a monitor that could check second language output for form — assuming the learner has time, sufficient knowledge, and inclination (the monitor hypothesis). Subsequent work, by other researchers, on the interaction hypothesis and the comprehensible output hypothesis, has suggested that opportunities for output and interaction may also be necessary for learners to reach more advanced levels.Research on how exactly learners acquire a new language spans several different areas. Focus is directed toward providing proof of whether basic linguistic skills are innate (nature), acquired (nurture), or a combination of the two attributes. Cognitive approaches to SLA research deal with the processes in the brain that underpin language acquisition, for example how paying attention to language affects the ability to learn it, or how language acquisition is related to short-term and long-term memory. Sociocultural approaches reject the notion that SLA is a purely psychological phenomenon and attempt to explain it in a social context. Some key social factors that influence SLA are the level of immersion, connection to the L2 community, and gender. Linguistic approaches consider language separately from other kinds of knowledge and attempt to use findings from the wider study of linguistics to explain SLA. There is also a considerable body of research about how SLA can be affected by individual factors such as age and learning strategies. A commonly discussed topic regarding age in SLA is the critical period hypothesis, which suggests that individuals lose the ability to fully learn a language after a particular age in childhood. Another topic of interest in SLA is the differences between adult and child learners. Learning strategies are commonly categorized as learning or communicative strategies and are developed to improve their respective acquisition skills. Affective factors are emotional factors that influence an individual's ability to learn a new language. Common affective factors that influence acquisition are anxiety, personality, social attitudes, and motivation.Individuals may also lose a language through a process called second-language attrition. This is often caused by lack of use or exposure to a language over time. The severity of attrition depends on a variety of factors including level of proficiency, age, social factors, and motivation at the time of acquisition. Finally, classroom research deals with the effect that language instruction has on acquisition.",Wikipedia,2021-12-23
Federal Student Aid Information Center,Federal Student Aid Information Center,https://studentaid.gov/,"PO Box 84 
Washington, DC 20044-0084",studentaid@ed.gov,  ,"
1-800-730-8913;1-877-825-9923;1-800-557-7395",1-800-433-3243;1-800-621-3115;1-800-557-7392 ,Executive Department Sub-Office/Agency/Bureau,United States Department of Education,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Seal_of_the_United_States_Department_of_Education.svg/1000px-Seal_of_the_United_States_Department_of_Education.svg.png,org,,,"Federal Student Aid (FSA), an office of the U.S. Department of Education, is the largest provider of student financial aid in the United States. Federal Student Aid provides student financial assistance in the form of grants, loans, and work-study funds. FSA is a Performance-Based Organization, and was the first PBO to be established in the US government.Federal Student Aid is also responsible for the development, distribution, and processing of the Free Application for Federal Student Aid (FAFSA), the fundamental qualifying form used for all federal student aid distribution programs, as well as for many state, regional, and private student aid programs. Each year Federal Student Aid's staff processes approximately 22 million FAFSAs. Additionally, Federal Student Aid is responsible for enforcing the financial aid rules and regulations required by the Higher Education Act of 1965 and the U.S. Department of Education and managing the outstanding federal student loan portfolio.",Wikipedia,2021-12-23
Innovation and Improvement Office,Innovation and Improvement Office,https://oese.ed.gov/,"400 Maryland Ave., SW 
Washington, DC 20202",  ,1-202-205-4500,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Education,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Seal_of_the_United_States_Department_of_Education.svg/1000px-Seal_of_the_United_States_Department_of_Education.svg.png,org,,,The Office of Innovation and Improvement (OII) is responsible for managing innovation grants and policy for the United States Department of Education.Grants managed by OII include:Investing in Innovation (i3)Arts in Education National ProgramCharter Schools Program Grants for Replication and Expansion of High-Quality Charter SchoolsPromise Neighborhoods,Wikipedia,2021-12-23
IES,Institute of Education Sciences,https://www2.ed.gov/about/offices/list/ies/index.html,"555 New Jersey Ave., NW 
Washington, DC 20208",contact.ies@ed.gov,1-202-219-1385,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Education,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Seal_of_the_United_States_Department_of_Education.svg/1000px-Seal_of_the_United_States_Department_of_Education.svg.png,org,,,"The Institute of Education Sciences (IES) is the independent, non-partisan statistics, research, and evaluation arm of the U.S. Department of Education. IES' stated mission is to provide scientific evidence on which to ground education practice and policy and to share this information in formats that are useful and accessible to educators, parents, policymakers, researchers, and the public. It was created as part of the Education Sciences Reform Act of 2002.The first director of IES was Grover Whitehurst, who was appointed in November 2002 and served for six years. Mark Schneider is currently the Director of IES.",Wikipedia,2021-12-23
OPE,Office of Postsecondary Education,https://www2.ed.gov/about/offices/list/ope/index.html,"1990 K St., NW 
Washington, DC 20006",  ,1- 202-502-7750,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Education,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Seal_of_the_United_States_Department_of_Education.svg/1000px-Seal_of_the_United_States_Department_of_Education.svg.png,org,,,"The United States Department of Education (sometimes shortened to the ED, ED or DoEd) is a Cabinet-level department of the United States government. It began operating on May 4, 1980, having been created after the Department of Health, Education, and Welfare was split into the Department of Education and the Department of Health and Human Services by the Department of Education Organization Act, which President Jimmy Carter signed into law on October 17, 1979.The Department of Education is administered by the United States secretary of education. It has under 4,000 employees (2018) and an annual budget of $68 billion (2016). The 2019 Budget also supports $129.8 billion in new postsecondary grants, loans, and work-study assistance to help an estimated 11.5 million students and their families pay for college. Its official abbreviation is ""ED"" (""DoE"" refers to the United States Department of Energy) and is also often abbreviated informally as ""DoEd"".",Wikipedia,2021-12-23
OSERS,Office of Special Education and Rehabilitative Services,https://www2.ed.gov/about/offices/list/osers/index.html,"400 Maryland Ave., SW 
Washington, DC 20202-7100",  ,1-202-245-7468,"
1-202-205-4208",1-800-872-5327,Executive Department Sub-Office/Agency/Bureau,United States Department of Education,Rehabilitation Services Administration;Center for Parent Information and Resources,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Seal_of_the_United_States_Department_of_Education.svg/1000px-Seal_of_the_United_States_Department_of_Education.svg.png,org,,,"The Office of Special Education and Rehabilitative Services (OSERS) is a program of the United States Department of Education. OSERS' official mission is ""to provide leadership to achieve full integration and participation in society of people with disabilities by ensuring equal opportunity and access to, and excellence in, education, employment and community living.""",Wikipedia,2021-12-23
EIA,Energy Information Administration,https://www.eia.gov/,"1000 Independence Ave., SW 
Washington, DC 20585",InfoCtr@eia.gov,1-202-586-8800,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Energy,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Seal_of_the_United_States_Department_of_Energy.svg/1000px-Seal_of_the_United_States_Department_of_Energy.svg.png,org,,,"The U.S. Energy Information Administration (EIA) is a principal agency of the U.S. Federal Statistical System responsible for collecting, analyzing, and disseminating energy information to promote sound policymaking, efficient markets, and public understanding of energy and its interaction with the economy and the environment. EIA programs cover data on coal, petroleum, natural gas, electric, renewable and nuclear energy. EIA is part of the U.S. Department of Energy.",Wikipedia,2021-12-23
EM,Office of Environmental Management,https://www.energy.gov/em/office-environmental-management,"U.S. Department of Energy 
Attention: Office of Environmental Management 
1000 Independence Ave., SW 
Washington, DC 20585","
EM.WebContentManager@em.doe.gov",1-202-586-7709,1-800-877-8339,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Energy,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Seal_of_the_United_States_Department_of_Energy.svg/1000px-Seal_of_the_United_States_Department_of_Energy.svg.png,org,,,"Environmental resource management is the management of the interaction and impact of human societies on the environment. It is not, as the phrase might suggest, the management of the environment itself. Environmental resources management aims to ensure that ecosystem services are protected and maintained for future human generations, and also maintain ecosystem integrity through considering ethical, economic, and scientific (ecological) variables. Environmental resource management tries to identify factors affected by conflicts that rise between meeting needs and protecting resources. It is thus linked to environmental protection, sustainability, integrated landscape management, natural resource management, fisheries management, forest management, and wildlife management, and others.",Wikipedia,2021-12-23
