1MC,general announcing system
IOM,International Organization for Migration
IOSS,Interagency Operations Security Support Staff
IOW,information operations wing
IOWG,information operations working group
IP, Internet protocol,initial point, initial position, integrated policy (USAF), intelligence planning
IPA,intelligence production agency
IPB,intelligence preparation of the battlespace
IPC,integration planning cell, interagency planning cell, interagency policy committee
IPDP,inland petroleum distribution plan
IPDS,inland petroleum distribution system (USA)
IPE,individual protective equipment
IPG,isolated personnel guidance
IPI,indigenous populations and institutions
IPOE,intelligence preparation of the operational environment
IPP,impact point prediction
IPR,in-progress reviewIPR Fplan approval in-progress review
IPS,Integrated Planning System (DHS), Interim Polar System
IPT, Integrated Product Team,integrated planning team, intelligence planning team
IR, infrared,incident report, information requirement, intelligence requirement
IRA,Provisional Irish Republican Army
IRAC,Interdepartment Radio Advisory Committee (DOC)
IRBM,intermediate-range ballistic missile
IRC,information-related capability, Internet relay chat
IRCM,infrared countermeasuresIR pointerinfrared pointer
IRR,Individual Ready Reserve
IRS,Internal Revenue Service
IRSCC,interagency remote sensing coordination cell
IRTPA,Intelligence Reform and Terrorism Prevention Act
IS, information system,information superiority
ISA, international standardization agreement,individual Service augmentee
ISAC,information sharing and analysis center
ISAF,International Security Assistance Force
ISB,intermediate staging base
ISDDC,Integrated Mission Support for Surface Deployment and Distribution Cargo
ISE,information sharing environment
ISG,isolated soldier guidance
ISI2R,"identify, separate, isolate, influence, and reintegrate"
ISIL,Islamic State of Iraq and the Levant
ISIR,"identify, separate, influence, and renunciation"
ISN, internment serial number,Bureau of International Security and Nonproliferation (DOS)
ISO,International Organization for Standardization, isolation
ISOPAK,International Organization for Standardization package
ISOPREP,isolated personnel report
ISP,Internet service provider
ISR,"intelligence, surveillance, and reconnaissance"
ISRD,"intelligence, surveillance, and reconnaissance division"
ISRLO,"intelligence, surveillance, and reconnaissance liaison officer (USAF)ISR WGIntelligence, Surveillance, and Reconnaissance Wing"
ISS,in-system select
ISU,internal airlift or helicopter slingable container unit
IT, information technology,information system technician
ITA,International Trade Administration (DOC)
ITF,integrated task force, intelligence task force (DIA)
ITL,intelligence task list
ITO,installation transportation officer
ITU,International Telecommunications Union
ITV,in-transit visibility
ITW/AA,integrated tactical warning and attack assessment
IV,intravenous
IW,irregular warfare
IWC,information operations warfare commander
IWG,intelligence working group, interagency working group
IWW,inland waterway
IWWS,inland waterway system
InterAction,American Council for Voluntary International Action
J-1,manpower and personnel directorate of a joint staff
J-2,intelligence directorate of a joint staff
J-2E,joint force exploitation staff element
J-2X,joint force counterintelligence and human intelligence staff element
J-3,operations directorate of a joint staff
J-31,Joint Force Coordinator (Joint Staff)
J-35,"future operations cellJ-39 DDGOJoint Staff, Deputy Director for Global Operations"
J-4,logistics directorate of a joint staff
J-5,plans directorate of a joint staff
J-6,communications system directorate of a joint staff
J-7, training,engineering staff section of a joint staff, operational plans and interoperability directorate of a joint staff
J-8,"force structure, resource, and assessment directorate of a joint staff", resource management and financial support
J-9,civil-military operations/interagency cooperation directorate of a joint staff, civil-military operations
JA,judge advocate
JA/ATT,joint airborne and air transportability training
JAARS,Joint After-Action Reporting System
JAC,joint analysis center
JACCE,joint air component coordination element
JACE,joint air coordination element
JACS,joint automated communication-electronics operating instructions system
JADOC,Joint Air Defense Operations Center (NORAD)
JADOCS,Joint Automated Deep Operations Coordination System
JAG,judge advocate general
JAGIC,joint air-ground integration center
JAMMS,Joint Asset Movement Management System
JAOC,joint air operations center
JAOP,joint air operations plan
JARN,joint air request net
JASSM,joint air-to-surface standoff missile
JAT,joint assessment team
JBPO,joint blood program office
JCA,joint capability area
JCASO,Joint Contingency Acquisition Support Office (DLA)
JCC,joint collaboration cell, joint contracting center, joint cyberspace center
JCCA,joint combat capability assessment
JCCC,Joint Combat Camera Center, joint communications control center
JCCSE,Joint Continental United States Communications Support Environment
JCEOI,joint communications-electronics operating instructions
JCET,joint combined exchange training
JCEWR,joint coordination of electromagnetic warfare reprogramming
JCEWS,joint force commander’s electronic warfare staff
JCISA,Joint Command Information Systems Activity
JCIU,joint counterintelligence unit
JCM,Joint Container Management
JCMA,joint communications security monitoring activity
JCMB,joint collection management board
JCMEB,joint civil-military engineering board
JCMEC,joint captured materiel exploitation center, Joint Captured Materiel Exploitation Center (DIA)
JCMO,joint communications security management office
JCMOTF,joint civil-military operations task force
JCMS,Joint Construction Management System
JCN,joint communications network, joint communications node
JCRM,Joint Capabilities Requirements Manager
JCS,Joint Chiefs of Staff
JCSB,joint contracting support board
JCSE,joint communications support element, Joint Communications Support Element (USTRANSCOM)
JDAM,Joint Direct Attack Munition
JDAT,joint deployable analysis team
JDD,joint doctrine distribution
JDDC,Joint Deployment and Distribution Coordinator (USTRANSCOM), joint doctrine development
JDDE,joint deployment and distribution enterprise
JDDOC,joint deployment and distribution operations center
JDDT,joint doctrine development tool
JDEC,joint document exploitation center
JDEIS,"Joint Doctrine, Education, and Training Electronic Information System"
JDET,joint distribution enabling team
JDIGS,Joint Digital Information Gathering System
JDISS,joint deployable intelligence support system
JDN,joint data network, joint doctrine note
JDNC,joint data network operations cell
JDNO,joint data network operations officer
JDOMS,Joint Director of Military Support
JDPC,Joint Doctrine Planning Conference
JDPI,joint desired point of impact
JDPO,joint deployment process owner
JDTC,Joint Deployment Training Center
JECC,Joint Enabling Capabilities Command (USTRANSCOM)
JED,Joint Education and Doctrine
JEDD,Joint Education and Doctrine Division
JEFF,Joint Expeditionary Forensic Facility (USA)
JEL,Joint Electronic Library
JEL+,Joint Electronic Library Plus
JEMB,joint environmental management board
JEMSO,joint electromagnetic spectrum operations
JEMSOC,joint electromagnetic spectrum operations cell
JENM,joint enterprise network manager
JEODOC,joint explosives ordnance disposal operations center
JEODTF,joint explosives ordnance disposal task force
JEP,Joint Exercise Program
JEPAC,Joint Electromagnetic Preparedness for Advanced Combat (USSTRATCOM)
JEPES,Joint Engineer Planning and Execution System
JET,joint expeditionary team, Joint Operation Planning and Execution System editing tool
JETS,"joint equipment, tactical, and space"
JEWC,Joint Electromagnetic Warfare Center (USSTRATCOM)
JEWCS,joint electronic warfare core staff (NATO)
JEZ,joint engagement zone
JFACC,joint force air component commander
JFAST,Joint Flow and Analysis System for Transportation
JFC,joint force commander
JFCC,joint functional component command
JFCC-GS,Joint Functional Component Command for Global Strike
JFCC-IMD,Joint Functional Component Command for Integrated Missile Defense
JFCC-ISR,"Joint Functional Component Command for Intelligence, Surveillance, and Reconnaissance (USSTRATCOM)JFCC NWJoint Functional Component Command for Network WarfareJFCC SpaceJoint Functional Component Command for Space (USSTRATCOM)"
JFCH,joint force chaplain
JFE,joint fires element
JFHQ,joint force headquarters
JFHQ-C,joint force headquarters-cyberspace
JFHQ-DODIN,Joint Force Headquarters-Department of Defense Information Network (USCYBERCOM)
JFHQ-NCR,Joint Force Headquarters-National Capital Region
JFHQ-State,joint force headquarters-state
JFLCC,joint force land component commander
JFM,joint functional manager
JFMC,joint fleet mail center
JFMCC,joint force maritime component commander
JFMO,joint frequency management office
JFO,joint field office, joint fires observer
JFP,joint force provider, Joint Frequency Panel (MCEB)JFRG IIjoint force requirements generator II
JFRR,Joint Force Readiness Review
JFS,joint force surgeon
JFSCC,Joint Force Space Component Commander (USSTRATCOM)
JFSOCC,joint force special operations component commander
JFTR,joint Federal travel regulations
JFUB,joint facilities utilization board
JG,joint guide
JGWE,joint global warning enterprise
JHNS,Joint Hometown News Service
JHSV,joint high-speed vessel
JIA,joint individual augmentation, joint individual augmentee
JIACG,joint interagency coordination group
JIATF,joint interagency task force
JIATF-S,Joint Interagency Task Force-South
JIATF-W,Joint Interagency Task Force-West
JIC,joint information center
JICC,joint interface control cell
JICO,joint interface control officer
JIDC,joint interrogation and debriefing center
JIDO,Joint Improvised-Threat Defeat Organization (DTRA)
JIEE,Joint Information Exchange Environment
JIEP,joint intelligence estimate for planning
JIMB,joint information management board
JIMPP,joint industrial mobilization planning process
JIO,joint interrogation operations
JIOC,joint intelligence operations center
JIOC-SOUTH,"Joint Intelligence Operations Center, South"
JIOC-TRANS,Joint Intelligence Operations Center–Transportation (USTRANSCOM)
JIOCPAC,"Joint Intelligence Operations Center, Pacific"
JIOWC,Joint Information Operations Warfare Center
JIPCL,joint integrated prioritized collection list
JIPOE,joint intelligence preparation of the operational environment
JIPTL,joint integrated prioritized target list
JIS,joint information system
JISE,joint intelligence support element
JITF-CT,Joint Intelligence Task Force for Combating Terrorism
JIVU,Joint Intelligence Virtual University
JKnIFE,Joint Improvised Explosive Device Defeat Organization Knowledge and Information Fusion Exchange
JLB,joint logistics board
JLCC,joint lighterage control center, joint logistics coordination center
JLE,joint logistics environment
JLEnt,joint logistics enterprise
JLLIS,Joint Lessons Learned Information System
JLLP,Joint Lessons Learned Program
JLOA,joint logistics over-the-shore operation area
JLOC,joint logistics operations center
JLOP,joint land operations plan
JLOTS,joint logistics over-the-shore
JLRC,joint logistics readiness center
JLSB,joint line of communications security board
JLSE,joint legal support element
JLSG,joint logistic support group
JMAC,Joint Mortuary Affairs Center (USA)
JMAO,joint mortuary affairs office
JMAR,joint medical asset repository
JMAT,joint medical analysis tool
JMC,joint movement center
JMCG,joint movement control group
JMD,joint manning document
JMEEL,joint mission-essential equipment list
JMEM,Joint Munitions Effectiveness Manual
JMET,joint mission-essential task
JMETL,joint mission-essential task list
JMIC,joint modular intermodal container
JMICS,Joint Worldwide Intelligence Communications System mobile integrated communications system
JMIE,joint maritime information element
JMIP,joint military intelligence program
JMISTF,joint military information support task force
JMITC,Joint Military Intelligence Training Center
JMMT,joint military mail terminal
JMO,joint maritime operations, joint meteorological and oceanographic officer, joint munitions office
JMOC,joint medical operations center
JMP,joint manpower program
JMPA,joint military postal activity
JMPAB,Joint Materiel Priorities and Allocation Board
JMPS,Joint Mission Planning System
JMPT,Joint Medical Planning Tool
JMRR,Joint Monthly Readiness Review
JMTCA,joint munitions transportation coordinating activity
JMUA,Joint Meritorious Unit Award
JMWG,joint medical working group
JNCC,joint network operations control center
JNMS,joint network management system
JNSC,Joint Navigation Warfare Center Navigation Warfare Support Cell
JNWC,Joint Navigation Warfare Center
JOA,joint operations area
JOAF,joint operations area forecast
JOC,joint operations center
JOCC,joint operations command center
JOERAD,joint spectrum center ordnance electromagnetic environmental effects risk assessment database
JOG,joint operations graphic
JOPES,Joint Operation Planning and Execution System
JOPG,joint operations planning group
JOPPA,joint operation planning process for air
JOSE,Joint Operations Security Support Element (Joint Staff)
JOTC,joint operations tasking center
JP,joint publication
JP4,"jet propulsion fuel, type 4"
JP5,"jet propulsion fuel, type 5"
JP8,"jet propulsion fuel, type 8"
JPAC, Joint POW/MIA Accounting Command,joint planning augmentation cell
JPADS,joint precision airdrop system
JPAG,Joint Planning Advisory Group
JPARR,joint personnel accountability reconciliation and reporting
JPASE,joint public affairs support element, Joint Public Affairs Support Element (USTRANSCOM)
JPC,joint postal cell
JPEC,joint planning and execution community
JPED,joint personal effects depot
JPEG,Joint Photographic Experts Group
JPERSTAT,joint personnel status and casualty report
JPG,joint planning group
JPME,joint professional military education
JPMRC,joint patient movement requirements center
JPN,joint planning network
JPO,joint petroleum office, Joint Program Office
JPOC,joint personnel operations center, joint planningorientation course
JPP,joint planning process
JPPA,joint planning process for air
JPPC,joint personnel processing center
JPRA,Joint Personnel Recovery Agency
JPRC,joint personnel recovery center
JPSE,Joint Planning Support Element (USTRANSCOM)
JPTTA,joint personnel training and tracking activity
JRC,joint reconnaissance center
JRCC,joint reception coordination center
JRERP,Joint Radiological Emergency Response Plan
JRFL,joint restricted frequency list
JRIC,joint reserve intelligence center
JRIP,Joint Reserve Intelligence Program
JROC,Joint Requirements Oversight Council
JRRB,joint requirements review board
JRS,joint reporting structure
JRSOI,"joint reception, staging, onward movement, and integration"
JRTC,joint readiness training center
JS,Joint Staff
JSA,joint security area
JSAM,Joint Service Achievement Medal
JSAP,Joint Staff action processing
JSC,joint security coordinator, Joint Spectrum Center (DISA)
JSCC,joint security coordination center
JSCM,Joint Service Commendation Medal
JSDS,Joint Staff doctrine sponsor
JSETS,Joint Search and Rescue Satellite-Aided Tracking Electronic Tracking System
JSF,joint support force
JSHO,joint shipboard helicopter operations
JSIR,joint spectrum interference resolution
JSIVA,Joint Staff Integrated Vulnerability Assessment
JSME,joint spectrum management element
JSO,joint security operations
JSOA,joint special operations area
JSOAC,joint special operations air component, joint special operations aviation component
JSOACC,joint special operations air component commander
JSOC,joint special operations command
JSOTF,joint special operations task force
JSOU,Joint Special Operations University
JSPA,joint satellite communications panel administrator
JSPOC,Joint Space Operations Center
JSPS,Joint Strategic Planning System
JSR,joint strategy review
JSTARS,Joint Surveillance Target Attack Radar System
JSTO,joint space tasking order
JTA,joint technical architecture
JTAC,joint terminal attack controller
JTAIC,Joint Technical Analysis and Integration Cell (USA)
JTAR,joint tactical air strike request
JTB,Joint Transportation Board
JTCB,joint targeting coordination board
JTCC,joint transportation coordination center
JTCG/ME,Joint Technical Coordinating Group for Munitions Effectiveness
JTCOIC,Joint Training Counter-Improvised Explosive Device Operations Integration Center
JTD,joint table of distribution
JTF,joint task force
JTF-AK,Joint Task Force-Alaska
JTF-CM,joint task force - consequence management
JTF-CS,Joint Task Force-Civil Support
JTF-E,Joint Task Force-East (DHS), joint task force-elimination
JTF-GNO,Joint Task Force-Global Network Operations
JTF-HD,Joint Task Force-Homeland Defense
JTF-I,Joint Task Force-Investigations (DHS)
JTF-MAO,joint task force - mortuary affairs office
JTF-N,Joint Task Force-North
JTF-PO,joint task force-port opening
JTF-State,joint task force-state
JTF-W,Joint Task Force-West (DHS)
JTFCEM,joint task force contingency engineering management
JTIDS,Joint Tactical Information Distribution System
JTL,joint target list
JTLM,joint theater logistics management
JTMD,joint table of mobilization and distribution, Joint Terminology Master Database
JTMS,joint theater movement staff, joint training master schedule
JTP,joint test publication, joint training plan
JTR,Joint Travel Regulations
JTS,Joint Training System
JTSCC,joint theater support contracting command
JTTF,joint terrorism task force
JTWG,joint targeting working group
JU,Joint Tactical Information Distribution System unit
JUH-MTF,Joint User Handbook-Message Text Formats
JUIC,joint unit identification code
JUO,joint urban operation
JUON,joint urgent operational need
JVB,joint visitors bureau
JWAC,Joint Warfare Analysis Center
JWG,joint working group
JWICS,Joint Worldwide Intelligence Communications System
K-Kill,catastrophic kill
KLE,key leader engagement
KS,knowledge sharing
Ka,Kurtz-above band
Ku,Kurtz-under band
L-EWE,land-electronic warfare element
LA,lead agent, legal adviser
LAD,latest arrival date, launch area denied
LAN,local area network
LARC,"lighter, amphibious resupply, cargo"
LARC-V,"lighter, amphibious resupply, cargo, 5 ton"
LASH,lighter aboard ship
LAV,light armored vehicle
LC,legal counsel
LCAC,"landing craft, air cushion"
LCADS,low-cost aerial delivery system
LCC,amphibious command ship, land component commander, lighterage control center
LCE,logistics combat element (USMC)
LCM,"landing craft, mechanized", letter-class mail, life-cycle management
LCO,landing craft air cushion control officer
LCP,lighterage control point
LCS,landing craft air cushion control ship
LCU,"landing craft, utility"
LD,light damage, line of departure
LDA,limited depository account
LDF,local defense force
LDO,laser designator operator
LDR,low data rate
LE,law enforcement, low-order explosives
LEA,law enforcement agency
LEC,lead environmental component
LED,light emitting diode
LEDET,law enforcement detachment (USCG)
LEGAT,legal attaché
LEIP,Law Enforcement Intelligence Program (USCG)
LEMP,low-altitude electromagnetic pulse
LEO,law enforcement operations, low Earth orbit
LEP,law enforcement professional
LF,landing force
LFA,lead federal agency
LFOC,landing force operations center
LFORM,landing force operational reserve material
LFSP,landing force support party
LG,deputy chief of staff for logistics
LGB,laser-guided bomb
LGM,laser-guided missile, loop group multiplexer
LGW,laser-guided weapon
LHA,amphibious assault ship (general purpose)
LHD,amphibious assault ship (multipurpose)
LIDAR,light detection and ranging
LIMDIS,limited distribution
LIPS,Logistics Information Processing System
LJDAM,laser-guided joint direct attack munition
LL,lessons learned
LLLTV,low-light level television
LLTR,low-level transit route
LM,light maneuver
LMARS,Logistics Metrics Analysis Reporting System
LMSR,"large, medium-speed roll-on/roll-off"
LN, local national,lead nation
LNI,Library of National Intelligence
LNO,liaison officer
LO/LO,lift-on/lift-off
LO/RO,lift-on/roll-off
LOA, letter of authorization,letter of assist, letter of offer and acceptance, logistics over-the-shore operation area
LOAC,law of armed conflict
LOAL,lock-on after launch
LOBL,lock-on before launch
LOC,line of communications
LOD,line of departure
LOE,letter of evaluation, line of effort
LOG,logistics
LOGCAP,Logistics Civil Augmentation Program (USA)
LOI,letter of instruction
LOMEZ,low-altitude missile engagement zone
LOO,line of operation
LOR,launch on remote
LOS,line of sight
LOTS,logistics over-the-shore
LOX,liquid oxygen
LPD,amphibious transport dock, low probability of detection
LPI,low probability of intercept
LRC,logistics readiness center
LRF,laser range finder
LRN,Laboratory Response Network (DHHS)
LRO,lighterage repair officer
LRP,load and roll pallet
LRST,long-range surveillance team
LRT,logistics response time
LSA,logistics support analysis, logistics supportability analysis
LSC,lead Service for contracting
LSCC,lead Service for contracting coordination
LSD,dock landing ship
LSS,laser spot search, logistics support system," low, slow, and small"
LSSS,"logistics support, supplies, and services"
LST,laser spot tracker
LSV,logistics support vessel
LT,long ton
LTD,laser target designator
LTF,logistics task force
LTIOV,latest time information is of value
LTL,laser-to-target line
LZ,landing zone
M,million
M&E,monitoring and evaluation
M-Kill,mobility kill
MA,mission assurance, mortuary affairs
MAAP,master air attack plan
MAC,mobility assault company
MACB,multinational acquisition and contracting board
MACCS,Marine air command and control system
MACG,Marine air control group
MACP,mortuary affairs collection point
MACRMS,mortuary affairs contaminated remains mitigation site
MACS,Marine air control squadron
MAF,mobility air forces
MAG,Marine aircraft group, maritime assessment group, military assignment group
MAGTF,Marine air-ground task force (USMC)
MAJCOM,major command (USAF)
MANPADS,man-portable air defense system
MAOC-N,Maritime Analysis and Operations Center-Narcotics
MARAD,Maritime AdministrationMARAD RRFMaritime Administration Ready Reserve Force
MARCORLOGCOM,Marine Corps Logistics Command
MARDIV,Marine division
MARFOR,Marine forcesMARFOR NORTHCOMMarine Forces Northern Command
MARFORSOC,Marine Forces Special Operations CommandMARFOR STRATCOMMarine Forces Strategic Command
MARINCEN,Maritime Intelligence CenterMarine TACCMarine tactical air command center
MARLE,Marine liaison element
MARO,mass atrocity response operations
MARPOL,International Convention for the Prevention of Pollution from Ships
MARS,Military Auxiliary Radio System
MARSOF,Marine special operations forces
MARTS,Mortuary Affairs Reporting and Tracking System
MAS,maritime air support
MASA,mutual airlift support agreement
MASF,mobile aeromedical staging facility
MASINT,measurement and signature intelligence
MASLO,measurement and signature intelligence liaison officer
MAST,mobile ashore support terminal
MAW,Marine aircraft wing
MAXORD,maximum ordinate
MC,Military Committee (NATO), mission-critical, mobile communications
MC/FI,mass casualty/fatality incident
MC4EB,"Military Command, Control, Communications, and Computers Executive Board"
MCA,mail control activity, military civic action, movement control agency
MCAG,maritime civil affairs group
MCAS,Marine Corps air station
MCAST,maritime civil affairs and security training
MCAT,maritime civil affairs team
MCB,movement control battalion
MCC,,military coordinating committee, military counterintelligence collections, mission control center
MCCC,Marine Corps component command
MCCDC,Marine Corps Combat Development Command
MCD,medical crew director
MCDP,Marine Corps doctrinal publication
MCEB,Military Communications-Electronics Board
MCESG,Marine Corps Embassy Security Group
MCI,multinational communications integration
MCIA,Marine Corps Intelligence Activity
MCIO,military criminal investigative organization
MCIOC,Marine Corps Information Operations Center
MCIP,Marine Corps interim publication, military customs inspection program
MCISRE,"Marine Corps Intelligence, Surveillance, and Reconnaissance Enterprise"
MCM, Manual for Courts-Martial,maneuver control measure, military committee memorandum (memorandum issued in
MCMC,mine countermeasures commander
MCMO,medical civil-military operations
MCMOPS,mine countermeasures operations
MCMREP,mine countermeasure report
MCMRON,mine countermeasures squadron
MCO, Marine Corps order,major combat operation, Mapping Customer Operations (Defense Logistics Agency)
MCOO,modified combined obstacle overlay
MCRP,Marine Corps reference publication
MCS,modular causeway system
MCSB,Marine Cryptologic Support Battalion
MCSFR,Marine Corps Security Forces Regiment
MCT,movement control team
MCTOG,Marine Corps Tactics and Operations Group
MCTP,Marine Corps tactical publication
MCWL,Marine Corps Warfighting Laboratory
MCWP,Marine Corps warfighting publication
MCX,Marine Corps Exchange
MD,missile defense, moderate damage
MDA, Missile Defense Agency,maritime domain awareness
MDBS,"medical detachment, blood support"
MDCO,Military Department counterintelligence organization
MDDOC,Marine air-ground task force deployment and distribution operations center
MDIOC,Missile Defense Integration and Operations Center (MDA)
MDM,maritime defense measure
MDMA,methylenedioxymethamphetamine
MDO,military deception officer
MDRO,mission disaster response officer
MDS,Message Dissemination Subsystem, mobile diving and salvageMDSS IIMarine Air-Ground Task Force Deployment Support System II
MDSU,mobile diving and salvage unit
ME/C,medical examiner and/or coroner
MEA,munitions effectiveness assessment
MEB,maneuver enhancement brigade, Marine expeditionary brigade
MEDCC,medical coordination cell
MEDCOM,US Army Medical CommandMEDCOM (DS)medical command (deployment support) (USA)
MEDEVAC,medical evacuation
MEDINT,medical intelligence
MEDLOG,medical logisticsMEDLOG supportmedical logistics support
MEDNEO,medical noncombatant evacuation operation
MEF,Marine expeditionary force
MEJA,Military Extraterritorial Jurisdiction Act
MEO, military equal opportunity,medium Earth orbit
MEP,mobile electric power
MESF,maritime expeditionary security force
MESFC,maritime expeditionary security force commander
MESO,maritime expeditionary security operations
MET,mobile environmental team
METCON,control of meteorological information (roughly translated from French)
METL,mission-essential task list
METOC,meteorological and oceanographic
METSAT,meteorological satellite
METT-T,"mission, enemy, terrain and weather, troops and support available-time available"
METT-TC,"mission, enemy, terrain and weather, troops and support available-time available and civil considerations (USA)"
MEU,Marine expeditionary unit
MEVA,mission essential vulnerable area
MEZ,missile engagement zone
MF,mobile facility
MFC,multinational force commander
MFE,mobile field exchange
MFO,multinational force and observers
MGRS,military grid reference system
MGW,maximum gross weight
MHD,maritime homeland defense
MHE,materials handling equipment
MHS, Military Health System,maritime homeland security
MHz,megahertz
MI,military intelligence, movement instructions
MIA,missing in action
MIB,Military Intelligence Board
MIC,Multinational Interoperability Council
MIDAS,model for intertheater deployment by air and sea
MIDB,modernized integrated database, modernized intelligence database
MIFC,maritime intelligence fusion center (USCG)
MIL-STD,military standard
MILAIR,military airlift
MILALOC,military air line of communications
MILCO,minelike contact
MILCON,military construction
MILDEC,military deception
MILDEP,Military Department
MILSATCOM,military satellite communications
MILSPEC,military specification
MILSTAMP,military standard transportation and movement procedures
MILSTRAP,military standard transaction reporting and accounting procedure
MILSTRIP,military standard requisitioning and issue procedure
MILTECH,military technician
MILU,multinational integrated logistic unit
MIMP,Mobilization Information Management Plan
MIO,maritime interception operations
MIOC,maritime interception operations commander
MIP,military intelligence program
MIPOE,medical intelligence preparation of the operational
MIR,multisensor imagery reconnaissance
MIRCS,mobile integrated remains collection system
MIS,military information support
MISG,military information support group
MISO,military information support operations
MISREP,mission report
MIST,"mechanism of injury, injury type, signs, treatment", military information support team
MISTF,military information support task force
MITAM,mission tasking matrix
MIW,mine warfare
MIWC,mine warfare commander
MIWG,multinational interoperability working group
MJLC,multinational joint logistics center
MLA,mission load allowance
MLEA,Maritime Law Enforcement Academy
MLEM,Maritime Law Enforcement Manual
MLG,Marine logistics group
MLI,munitions list item
MLMC,medical logistics management center
MLP,mobile landing platform
MLRS,multiple launch rocket system
MLS,multilevel security
MLSA,mutual logistics support agreement
MLT,military liaison team
MLW,mean low water
MMAC,military mine action center
MMG,Department of Defense Master Mobilization Guide
MMIM,Modeled Meteorological Information Manager
MMS,marine mammal system
MNC,multinational corporation
MNCC,multinational coordination center
MNEODCC,multinational explosives ordnance disposal control center
MNF,multinational force
MNFACC,multinational force air component commander
MNFC,multinational force commander
MNFLCC,multinational force land component commander
MNFMCC,multinational force maritime component commander
MNFSOCC,multinational force special operations component commander
MNJLC,multinational joint logistics component
MNL,master net list, multinational logistics
MNLC,multinational logistic center
MNTF,multinational task force
MOA,memorandum of agreement
MOB,main operating base, mobilization
MOBREP,military manpower mobilization and accession status report, mobilization report
MOC, media operations center,maritime operations center
MOD,model,ministry of defense, modification
MODA,ministry of defense advisor
MOE,measure of effectiveness
MOEI,measure of effectiveness indicator
MOG,maximum (aircraft) on ground
MOGAS,motor gasoline
MOMAT,mobility matting
MOP,measure of performance, memorandum of policy
MOPP,mission-oriented protective posture
MOS,military occupational specialty
MOTR,maritime operational threat response
MOU,memorandum of understanding
MOVREP,movement report
MP,military police (USA and USMC), multinational publication
MPA,maritime patrol aircraft, mission planning agent
MPAT,military patient administration team, Multinational Planning Augmentation Team
MPE/S,maritime pre-positioning equipment and supplies
MPF,maritime pre-positioning force
MPFUB,maritime pre-positioning force utility boat
MPICE,measuring progress in conflict environments
MPNTP,Master Positioning Navigation and Timing Plan
MPO,military post office
MPP,maritime procedural publication
MPR,maritime patrol and reconnaissance
MPS, Military Postal Service,maritime pre-positioning ship, Military Planning Service (UN)
MPSA,Military Postal Service Agency
MPSRON,maritime pre-positioning ships squadron
MPTk,Medical Planners’ Toolkit
MR,milliradian
MRAT,medical radiobiology advisory team
MRBM,medium-range ballistic missile
MRI,magnetic resonance imaging
MRO, materiel release order,mass rescue operation, medical regulating office, medical regulating officer
MRR,Marine Raider Regiment, minimum-risk route
MRS,measurement and signature intelligence (MASINT) requirements system
MRT,maintenance recovery team
MRX,mission readiness exercise
MS,Microsoft
MSA,Maritime Security Act
MSC, Military Sealift Command,major subordinate command
MSCA,military support to civilian authorities
MSCAT,maritime security center augment team
MSCO,Military Sealift Command Office
MSD,mobile security division
MSE,mission support element
MSF,mission support force, mobile security force
MSG,Marine security guard, message
MSGID,message identification
MSHARPP,"mission, symbolism, history, accessibility, recognizability, population, and proximity"
MSI,modified surface index
MSIC,Missile and Space Intelligence Center
MSL,mean sea level, military shipping label
MSO, military,map support office, maritime security operations, military source operation, military strategic objective
MSOC,Marine special operations company
MSOG,Multinational Strategy and Operations Group
MSOR,Marine Special Operations Regiment
MSP,Maritime Security Program, mission support plan
MSR,main supply route, mission support request
MSRP,mission strategic resource plan
MSRT,Maritime Security Response Team (USCG)
MSST,maritime safety and security team
MST,mission support team
MTAB,Military Technical Acceptance Board
MTAC,Multiple Threat Alert Center (DON)MT Bnmotor transport battalion
MTCR,Missile Technology Control Regime
MTF,medical treatment facility, military information support operations task force
MTFP,mission-tailored force package
MTN,multi-tactical data link network
MTO,mission type order
MTON,measurement ton
MTP,mission tasking packet
MTS,Marine tactical system, Movement Tracking System
MTT,mobile training team
MTW,major theater war
MUSE,mobile utilities support equipment
MV,merchant vessel
MWC,Missile Warning Center (NORAD)
MWD,military working dog
MWG,mobilization working group
MWR,"morale, welfare, and recreation"
MWSD,Marine wing support detachment
MWSG,Marine wing support group
MWSS,Marine wing support squadron
MWT,modular warping tug
Mbps,megabytes per second
Mod,model
N-2,Director of Naval Intelligence, Navy component intelligence staff officer
N-6,Director of Naval Communications Networks
NA5CRO,non-Article 5 crisis response operation (NATO)
NAC,North Atlantic Council (NATO)NAD 83North American Datum 1983
NADR,"nonproliferation, antiterrorism, demining, and related programs"
NAEC-ENG,Naval Air Engineering Center - Engineering
NAF,nonappropriated funds, numbered air force
NAI,named area of interest
NALC,Navy ammunition logistics code
NALE,naval and amphibious liaison element
NALSS,naval advanced logistic support site
NAMS,National Air Mobility System
NAR, notice of ammunition reclassification,nonconventional assisted recovery
NARAC,national atmospheric release advisory capability, National Atmospheric Release Advisory Center (DOE)
NARP,Nuclear Weapon Accident Response Procedures
NAS,naval air station
NASA,National Aeronautics and Space Administration
NASIC,National Air and Space Intelligence Center
NATO,North Atlantic Treaty Organization
NATOPS,Naval Air Training and Operating Procedures Standardization
NAVAIDS,navigational aids
NAVAIR,Naval Air Systems Command
NAVCYBERFOR,Navy Cyber Forces
NAVELSG,Navy expeditionary logistics support group
NAVEODTECHDIV,Naval Explosives Ordnance Disposal Technology Division
